raw_id	ENSG_ID	Symbol	log2FoldChange	logCPM	pvalue	padj	baseMean
ENSG00000000003.15|4536|TSPAN6|protein_coding	ENSG00000000003	TSPAN6	-0.593810742637773	3.31395961441142	0.407447646560689	0.685172015290037	9.94491895765863
ENSG00000000419.14|9276|DPM1|protein_coding	ENSG00000000419	DPM1	0.888166650328427	3.69614440560945	0.100621993471483	0.341941031117619	12.9613528712605
ENSG00000000457.14|6883|SCYL3|protein_coding	ENSG00000000457	SCYL3	0.705634717702727	3.8927253983651	0.191140726079414	0.473798491517934	14.8534421733136
ENSG00000000460.17|5970|C1orf112|protein_coding	ENSG00000000460	C1orf112	0.522688510781794	3.17463799464215	0.312140975869438	0.60245437683531	9.02944925773347
ENSG00000000938.13|3382|FGR|protein_coding	ENSG00000000938	FGR	1.57869582338273	5.70218494348375	0.00135324593842591	0.0452899648080213	52.0629423602853
ENSG00000000971.16|7980|CFH|protein_coding	ENSG00000000971	CFH	0.0636937672783317	3.18651938636982	1	1	9.10411881778829
ENSG00000001084.13|8618|GCLC|protein_coding	ENSG00000001084	GCLC	0.653220355178414	3.55883490502805	0.244088830570612	0.533375449213533	11.784632833561
ENSG00000001167.15|6209|NFYA|protein_coding	ENSG00000001167	NFYA	0.590260612615839	4.41741926981556	0.127470250269096	0.386675901492667	21.3685819956663
ENSG00000001460.18|8511|STPG1|protein_coding	ENSG00000001460	STPG1	-0.61996567892685	3.64734677226052	0.157486145076102	0.430046432837671	12.5302802091276
ENSG00000001461.17|9396|NIPAL3|protein_coding	ENSG00000001461	NIPAL3	0.161755194888335	4.34688625403156	0.737153714379019	0.902853669870527	20.3490036743116
ENSG00000001497.18|12555|LAS1L|protein_coding	ENSG00000001497	LAS1L	-0.199093344646866	4.62206350030833	0.602087801269612	0.820821406392609	24.6251993783409
ENSG00000001561.7|4644|ENPP4|protein_coding	ENSG00000001561	ENPP4	0.899931526030759	3.68686130412289	0.0995918285285779	0.340393168456449	12.8782200734088
ENSG00000001617.12|4826|SEMA3F|protein_coding	ENSG00000001617	SEMA3F	-0.183840599350151	3.86124805255452	0.737156282121438	0.902853669870527	14.5328732063295
ENSG00000001626.16|9942|CFTR|protein_coding	ENSG00000001626	CFTR	-0.24116358431853	3.80800664944095	0.665832318774781	0.861637683561375	14.0063258306929
ENSG00000001629.10|7389|ANKIB1|protein_coding	ENSG00000001629	ANKIB1	0.86650223584001	4.45656560389309	0.0176240866359108	0.146646007642372	21.9563388414671
ENSG00000001630.17|3529|CYP51A1|protein_coding	ENSG00000001630	CYP51A1	0.257169956638089	3.40469174789648	0.761688705303285	0.915391876357091	10.5904482430635
ENSG00000001631.16|6204|KRIT1|protein_coding	ENSG00000001631	KRIT1	-0.338532883293856	4.27277353605325	0.341736133284844	0.629497362779104	19.3300509629592
