raw_id	ENSG_ID	Symbol	log2FoldChange	logCPM	pvalue	padj	baseMean
ENSG00000000003.15|4536|TSPAN6|protein_coding	ENSG00000000003	TSPAN6	-1.17853451026174	2.87423153482901	0.0320712432854171	0.245811526674022	7.33212577908814
ENSG00000000419.14|9276|DPM1|protein_coding	ENSG00000000419	DPM1	-0.366409244768115	3.86252751305044	0.329291644139142	0.729257266348369	14.545767466212
ENSG00000000457.14|6883|SCYL3|protein_coding	ENSG00000000457	SCYL3	-0.376250673226718	3.53083894288628	0.431477066244444	0.807676052217152	11.5581528021308
ENSG00000000460.17|5970|C1orf112|protein_coding	ENSG00000000460	C1orf112	-0.0744073833814967	2.86088342407228	0.982806064865486	1	7.26460030728945
ENSG00000000938.13|3382|FGR|protein_coding	ENSG00000000938	FGR	0.155725260441139	7.59752992896934	0.719291141969211	0.944474630108221	193.679832826167
ENSG00000001036.14|2822|FUCA2|protein_coding	ENSG00000001036	FUCA2	0.161092889065484	3.67565715773543	0.906746599974381	0.995966409464993	12.7785935954492
ENSG00000001084.13|8618|GCLC|protein_coding	ENSG00000001084	GCLC	0.154475033756915	3.4951972127857	0.739843294269158	0.951793411066349	11.2761073513182
ENSG00000001167.15|6209|NFYA|protein_coding	ENSG00000001167	NFYA	-0.436756515456893	4.86141757069834	0.31346287372998	0.716710382920054	29.0691618682654
ENSG00000001460.18|8511|STPG1|protein_coding	ENSG00000001460	STPG1	-0.508349547252893	3.33352133478605	0.425523070204875	0.803267019825851	10.080681954221
ENSG00000001461.17|9396|NIPAL3|protein_coding	ENSG00000001461	NIPAL3	0.0596378130183492	3.59287722756043	0.813182295888924	0.970858405914368	12.0660137596275
ENSG00000001497.18|12555|LAS1L|protein_coding	ENSG00000001497	LAS1L	-0.125202936831382	4.00755197219172	0.826545897478008	0.974310792057435	16.0839736453761
ENSG00000001561.7|4644|ENPP4|protein_coding	ENSG00000001561	ENPP4	-0.505182810892085	2.8729209818791	0.355167708421504	0.752161471092318	7.32546825576008
ENSG00000001617.12|4826|SEMA3F|protein_coding	ENSG00000001617	SEMA3F	0.0663968322503948	3.54278375589948	0.813076162161641	0.970858405914368	11.654245937125
ENSG00000001626.16|9942|CFTR|protein_coding	ENSG00000001626	CFTR	-0.233960496107869	3.45164557646735	0.768399458025781	0.958430136240583	10.9407943015701
ENSG00000001629.10|7389|ANKIB1|protein_coding	ENSG00000001629	ANKIB1	0.40533919652855	4.03958037391123	0.238809300014046	0.65513061310775	16.4450372838311
