raw_id	ENSG_ID	Symbol	log2FoldChange	logCPM	pvalue	padj	baseMean
ENSG00000000419.14|9276|DPM1|protein_coding	ENSG00000000419	DPM1	-0.135084043459649	3.78206058868585	0.618897292097209	0.867144740921731	13.7566815054146
ENSG00000000457.14|6883|SCYL3|protein_coding	ENSG00000000457	SCYL3	0.571882072814463	3.46952839597355	0.0141332015508884	0.16185073660782	11.0772540982942
ENSG00000000460.17|5970|C1orf112|protein_coding	ENSG00000000460	C1orf112	0.567493375900663	1.26861022970917	0.0368042913541226	0.262517714134905	2.40929362758347
ENSG00000000938.13|3382|FGR|protein_coding	ENSG00000000938	FGR	-0.152714454118399	7.70499538954696	0.596228601505126	0.856997570877482	208.657850281414
ENSG00000000971.16|7980|CFH|protein_coding	ENSG00000000971	CFH	2.42889970376818	-0.0657636064081486	0.00254929011794441	0.0631649324161546	0.955439477619728
ENSG00000001036.14|2822|FUCA2|protein_coding	ENSG00000001036	FUCA2	0.866623722366709	0.640159343807709	0.014340475317424	0.162988428150027	1.55850128427336
ENSG00000001084.13|8618|GCLC|protein_coding	ENSG00000001084	GCLC	0.847067740083275	0.836696855087469	0.0267154445827165	0.222431077313474	1.7859563929008
ENSG00000001167.15|6209|NFYA|protein_coding	ENSG00000001167	NFYA	0.156030059028183	5.61395661986703	0.597127800071849	0.857682603468835	48.974424009199
ENSG00000001460.18|8511|STPG1|protein_coding	ENSG00000001460	STPG1	0.128100001087807	-0.51519442589965	0.918614694992948	0.990448307436933	0.699698631022717
ENSG00000001461.17|9396|NIPAL3|protein_coding	ENSG00000001461	NIPAL3	1.13274260110262	2.13413277268504	0.00909502095651292	0.127882403064422	4.38973172318185
ENSG00000001497.18|12555|LAS1L|protein_coding	ENSG00000001497	LAS1L	0.706602419664288	1.20493914753498	0.173183039231017	0.534783288147963	2.30527545568632
ENSG00000001561.7|4644|ENPP4|protein_coding	ENSG00000001561	ENPP4	1.17383331646762	0.78927588866976	0.00339284526857862	0.0730316518513657	1.72820683070711
ENSG00000001617.12|4826|SEMA3F|protein_coding	ENSG00000001617	SEMA3F	0.13981734701983	-0.621309137248758	0.871636460304099	0.974960021048845	0.650080760595743
ENSG00000001629.10|7389|ANKIB1|protein_coding	ENSG00000001629	ANKIB1	0.703487524229083	3.15423641716059	9.04579087622397e-4	0.0329586947908711	8.90265974081181
