raw_id	ENSG_ID	Symbol	log2FoldChange	logCPM	pvalue	padj	baseMean
ENSG00000000419.14|9276|DPM1|protein_coding	ENSG00000000419	DPM1	0.253189045601067	3.52795126361745	0.748552031795272	0.946073638935815	11.5350412942621
ENSG00000000457.14|6883|SCYL3|protein_coding	ENSG00000000457	SCYL3	0.329833484006106	3.72248869920889	0.56940819885334	0.859139839750123	13.2002074651139
ENSG00000000460.17|5970|C1orf112|protein_coding	ENSG00000000460	C1orf112	0.47858168199951	3.51929365913962	0.306528261437352	0.675793878047719	11.4660268638253
ENSG00000000938.13|3382|FGR|protein_coding	ENSG00000000938	FGR	1.13589137575012	4.95454637657796	0.0279179566148176	0.239421057368212	31.0075229818733
ENSG00000001084.13|8618|GCLC|protein_coding	ENSG00000001084	GCLC	0.435036721498085	3.61194615290394	0.501655871455744	0.817936648142895	12.2265558140904
ENSG00000001167.15|6209|NFYA|protein_coding	ENSG00000001167	NFYA	0.264281329491941	4.4995605374259	0.407989723350086	0.757549185694294	22.6205254593742
ENSG00000001460.18|8511|STPG1|protein_coding	ENSG00000001460	STPG1	0.0655967736952802	3.90018244209591	0.71102699027776	0.929265205277187	14.9304158340171
ENSG00000001461.17|9396|NIPAL3|protein_coding	ENSG00000001461	NIPAL3	0.152844707956279	4.45504843636846	0.736679982952748	0.941316251473563	21.9332612443674
ENSG00000001497.18|12555|LAS1L|protein_coding	ENSG00000001497	LAS1L	0.242143987986847	4.5568968172886	0.447768356240624	0.784310890866822	23.5376244436307
ENSG00000001561.7|4644|ENPP4|protein_coding	ENSG00000001561	ENPP4	0.0561520090871104	3.25793644098321	1	1	9.56613692155724
ENSG00000001617.12|4826|SEMA3F|protein_coding	ENSG00000001617	SEMA3F	-0.223032827339273	3.97072004090006	0.545999866620858	0.845511649764377	15.6785478831813
ENSG00000001626.16|9942|CFTR|protein_coding	ENSG00000001626	CFTR	0.113701827796007	3.97513775007857	0.860444466279669	0.982869416589297	15.7266311007392
ENSG00000001629.10|7389|ANKIB1|protein_coding	ENSG00000001629	ANKIB1	0.147579097542063	4.40704036336806	0.784294150200005	0.957485117204739	21.2154057158938
ENSG00000001631.16|6204|KRIT1|protein_coding	ENSG00000001631	KRIT1	0.64466066856735	4.51525265606266	0.0956631202720142	0.411325981000384	22.8679106929487
ENSG00000002016.18|4503|RAD52|protein_coding	ENSG00000002016	RAD52	-0.0430745994940329	3.76989229625451	0.901309242730293	0.99794477452119	13.6411398571495
ENSG00000002330.14|1708|BAD|protein_coding	ENSG00000002330	BAD	0.341159631338115	3.56123892164619	0.423709048230253	0.768581728352473	11.8042863774696
ENSG00000002549.13|3779|LAP3|protein_coding	ENSG00000002549	LAP3	1.30789605043219	4.44481581423429	0.00617894741571619	0.110700111203088	21.7782453048728
ENSG00000002586.20_PAR_Y|4858|CD99|protein_coding	ENSG00000002586	CD99	0.278115935299192	5.00120651890482	0.478994981749498	0.802949521904371	32.0267726390235
ENSG00000002586.20|4858|CD99|protein_coding	ENSG00000002586	CD99	0.389432352385263	4.6588613207851	0.424240577415946	0.768581728352473	25.2613760052393
ENSG00000002726.21|3786|AOC1|protein_coding	ENSG00000002726	AOC1	-0.412765790379889	6.11366047471188	0.202330974487117	0.567228270161835	69.2460788906966
