log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	0.631881029946965	9.26776427791159	0.569537688468601	1	616.41761442573
chr1:727175-727325_-	2.05647477302736	9.02477512484171	0.0582423720865768	1	520.868407446096
chr1:730825-730925_-	0	8.86381765634645	1	1	465.880991048735
chr1:737675-737775_-	0	8.86381765634645	1	1	465.880991048735
chr1:740825-740925_-	-0.65113044551213	8.90385622492757	0.717323197211211	1	478.991493518723
chr1:779725-780725_+	0.323246173394391	8.9965275559411	0.905510047609721	1	510.769141497752
chr1:780675-780775_-	0	8.86381765634645	1	1	465.880991048735
chr1:1104025-1104325_-	0.345210757659297	8.87932998943106	1	1	470.917324817277
chr1:1112775-1114275_-	-0.385507041834453	9.44440245568643	0.613460828450613	1	696.704202643909
chr1:1264525-1267225_-	-0.24868406647348	9.12484335886191	0.826410656382501	1	558.279340451655
chr1:1280375-1280475_+	0.311221368752902	8.87674256273517	1	1	470.073506797291
chr1:1316125-1318625_-	0.25664054992807	9.34373324709656	0.873391965903926	1	649.746545033476
chr1:1395975-1397875_-	1.03080834551322	9.20562597757696	0.369811774093666	1	590.431539042471
chr1:1402675-1405375_-	0.921613297372033	9.48614253514538	0.290723120233663	1	717.155686222829
chr1:1407725-1409425_+	-0.120655286889288	9.00010274330176	1	1	512.036464008126
chr1:1482975-1484575_+	0.600269657109459	9.12155447785034	0.610549733828273	1	557.008092555062
chr1:1555725-1558175_-	0.822750923009365	9.2992176551263	0.444012775034442	1	630.004208211498
chr1:1559575-1561425_-	1.00460713460464	9.35972264775248	0.265301412666739	1	656.987744191967
chr1:1563275-1563775_-	1.5803937734107	9.02692783996339	0.196964964186415	1	521.646200562877
chr1:1569575-1569825_-	-0.940220058173372	8.98050585596332	0.362837150065565	1	505.128228094679
chr1:1571325-1573675_-	0.328966324168129	9.11839267788559	0.827416111581375	1	555.788694368446
chr1:1613375-1613525_-	0	8.86381765634645	1	1	465.880991048735
chr1:1653375-1654075_-	0.90232613157563	8.90490250482848	0.56630491498257	1	479.338996579957
chr1:1660275-1660375_-	-0.440529624144947	8.91410452630565	0.717323197211211	1	482.406162319437
chr1:1663475-1664175_-	0.416198106007046	9.34696614992749	0.614682604989103	1	651.204180016176
chr1:1666875-1668175_-	0.345043240309811	8.96545318013427	0.94522345623224	1	499.88526108207
chr1:1670475-1670575_-	0	8.86381765634645	1	1	465.880991048735
chr1:1680825-1681975_-	-1.04712999519686	8.96085623933821	0.33431621351792	1	498.294983346609
chr1:1685925-1686275_-	0.209035865805698	8.87075645132997	1	1	468.127092243407
chr1:1706375-1706525_-	0	8.86381765634645	1	1	465.880991048735
chr1:1716975-1717075_-	0.323146768095012	8.87761044601572	1	1	470.356374389772
chr1:1719825-1719925_-	-0.529145606251365	8.87911279012766	0.784313725490196	1	470.846433039739
