log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	-1.83083819685821	10.6873826798856	0.0280848348209244	0.894468535417303	1649.00799695748
chr1:727175-727325_-	-1.19887010205419	8.27338148195375	0.45191645138033	1	309.411172565837
chr1:730825-730925_-	-1.30761614323331	8.27862046233336	0.252564037959357	1	310.536806062594
chr1:737675-737775_-	-1.0422301926608	8.26609051988615	0.45191645138033	1	307.851442820956
chr1:740825-740925_-	-0.957445314110963	8.40705732745378	0.487581475027629	1	339.450482896061
chr1:779725-780725_+	-0.312615104009995	8.36104662137628	0.816094248291131	1	328.795472111646
chr1:780675-780775_-	1.5270609820685	8.32099200131316	0.296889411099181	1	319.79243514763
chr1:1104025-1104325_-	2.56274120305193e-15	8.22922487948543	1	1	300.084476517435
chr1:1112775-1114275_-	0.0243568389810335	8.57481737880079	1	1	381.30916010611
chr1:1264525-1267225_-	-1.70765306620639	8.7135454273798	0.0628616612644521	1	419.796237887967
chr1:1280375-1280475_+	2.56274120305193e-15	8.22922487948543	1	1	300.084476517435
chr1:1316125-1318625_-	-1.68998645588235	8.43429241336614	0.139389738315909	1	345.919471397296
chr1:1395975-1397875_-	-1.26913272493635	8.46801418278666	0.224829995453183	1	354.100282084085
chr1:1402675-1405375_-	-0.221082366064458	8.2976869360759	1	1	314.668059835244
chr1:1407725-1409425_+	0.739555555057259	8.44642636545893	0.596320282935217	1	348.841136057309
chr1:1482975-1484575_+	-0.762427430626582	8.39406299229955	0.630306354497378	1	336.40678473709
chr1:1555725-1558175_-	-1.27959313509649	8.83935446939627	0.146446863008153	1	458.047837995708
chr1:1559575-1561425_-	-1.37124649141744	8.67078826795759	0.169974523190356	1	407.537291414317
chr1:1563275-1563775_-	-0.729788564308647	8.43375942713492	0.516178359839269	1	345.791699236414
chr1:1569575-1569825_-	-1.42905106768606	8.3002521842436	0.25269371475114	1	315.228067118138
chr1:1571325-1573675_-	-0.94139720740304	8.75462603028965	0.310184610770319	1	431.921712066006
chr1:1613375-1613525_-	2.56274120305193e-15	8.22922487948543	1	1	300.084476517435
chr1:1653375-1654075_-	0.15326700473611	8.2586474026007	1	1	306.267273137915
chr1:1660275-1660375_-	-0.615352009993659	8.25239934460064	0.888888888888888	1	304.943751584299
chr1:1663475-1664175_-	-0.747260737485387	8.99204445348082	0.40053929580394	1	509.184415519022
chr1:1666875-1668175_-	-0.17669192838485	8.47185194805735	0.929898992091044	1	355.04349103067
chr1:1670475-1670575_-	-0.70930870759093	8.24942696435988	0.888888888888888	1	304.31612366476
chr1:1680825-1681975_-	-0.497952557015895	8.43045682122465	0.641527122441871	1	345.001021005848
chr1:1685925-1686275_-	2.56274120305193e-15	8.22922487948543	1	1	300.084476517435
chr1:1706375-1706525_-	0.418717462581641	8.29303102003844	1	1	313.654188915641
chr1:1716975-1717075_-	0.310631127025424	8.34786047473672	0.947288161676223	1	325.803992900127
chr1:1719825-1719925_-	2.56274120305193e-15	8.22922487948543	1	1	300.084476517435
chr1:1729375-1730075_-	-0.0557933777827692	8.64471136006745	1	1	400.237173837424
chr1:1730975-1731675_-	-0.499998286043544	8.2861947791788	0.850450523422086	1	312.171447705064
chr1:1732875-1734575_-	0.317780725168199	8.4155825885943	0.84382431727989	1	341.46232269067
chr1:1736075-1736625_-	0.290884667313547	8.38892380187499	1	1	335.210563187924
chr1:1765625-1768475_-	-1.48470483748612	9.16215184471173	0.0717270558612494	1	572.904891217367
chr1:1771975-1773225_-	0.107566691406606	8.48268582797596	1	1	357.719716599791
chr1:1773475-1774925_-	-1.01235417361854	8.66138772977035	0.301391493794593	1	404.890428920392
chr1:1784325-1784725_-	-0.947215278027689	8.25940757734507	0.45191645138033	1	306.4286918628
chr1:1791175-1791425_-	2.56274120305193e-15	8.22922487948543	1	1	300.084476517435
