log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	3.68102250707751	9.62873474402026	2.19383477276696e-05	0.773480325834446	791.658680671754
chr1:727175-727325_-	-0.93254406269544	8.82832259972549	0.410097946377246	1	454.558636761828
chr1:730825-730925_-	0	8.79785151923948	1	1	445.058607412958
chr1:737675-737775_-	-0.72067390577392	8.84221739862633	0.499036035855975	1	458.957704958965
chr1:740825-740925_-	0.29140756596267	8.80877180399968	1	1	448.440200386774
chr1:779725-780725_+	1.54191599492403	8.95173746162245	0.207088926619802	1	495.155365310638
chr1:780675-780775_-	0	8.79785151923948	1	1	445.058607412958
chr1:1104025-1104325_-	1.30542930173494	8.8717975165171	0.284826641663407	1	468.465020001061
chr1:1112775-1114275_-	-0.937040606155138	9.27743175410485	0.236748373558635	1	620.562089436776
chr1:1264525-1267225_-	-0.592423373007124	9.22640214421951	0.500410352908533	1	598.995827897192
chr1:1280375-1280475_+	0.374842512488606	8.81458504389145	1	1	450.25080456287
chr1:1316125-1318625_-	0.671806758191336	9.09869200654406	0.484569138613759	1	548.250725785522
chr1:1395975-1397875_-	0.355066968985346	9.12910886789466	0.816287262500386	1	559.932405962749
chr1:1402675-1405375_-	-0.801751313402545	9.23268650868144	0.345160664122848	1	601.610738566056
chr1:1407725-1409425_+	1.48167913180343	9.07859534044567	0.138813814715456	1	540.666568085475
chr1:1482975-1484575_+	0.675579898062197	8.9133422351602	0.739187214000466	1	482.151335900052
chr1:1555725-1558175_-	0.254758411139997	9.15376754548135	0.854784837707067	1	569.585079838836
chr1:1559575-1561425_-	0.528962888885544	9.12005816365495	0.706537461093232	1	556.430682205746
chr1:1563275-1563775_-	1.55799201113597	8.89893269772107	0.164632345602635	1	477.359611526616
chr1:1569575-1569825_-	-0.52837264361911	8.8147680779938	0.823529411764706	1	450.307931313478
chr1:1571325-1573675_-	2.81584938295451	9.32820348473355	0.0019068523301655	1	642.789915362924
chr1:1613375-1613525_-	-0.308682031942803	8.82272266667772	1	1	452.797651957808
chr1:1653375-1654075_-	-1.73113211648025	8.87894132758153	0.0587753639769837	1	470.790476840637
chr1:1660275-1660375_-	-0.503032710710316	8.81333427989621	0.823529411764706	1	449.860622694042
chr1:1663475-1664175_-	0.0414047998882457	9.38889697757584	1	1	670.408661226141
chr1:1666875-1668175_-	0.230869973958821	8.9797707739279	0.965737332502508	1	504.870920696732
chr1:1670475-1670575_-	0	8.79785151923948	1	1	445.058607412958
chr1:1680825-1681975_-	0.872311055537333	8.84223748667823	0.529170087222175	1	458.96409551977
chr1:1685925-1686275_-	0	8.79785151923948	1	1	445.058607412958
chr1:1706375-1706525_-	1.2734608402234	8.87013144523816	0.285906226737213	1	467.924333580745
chr1:1716975-1717075_-	-0.0474215489480428	8.8694003587086	1	1	467.68727272996
chr1:1719825-1719925_-	0	8.79785151923948	1	1	445.058607412958
chr1:1729375-1730075_-	-0.0864267179122993	9.15084593796751	0.977097077558553	1	568.432777968469
chr1:1730975-1731675_-	1.01216184443243	8.95623423938233	0.371590298555308	1	496.701137120953
chr1:1732875-1734575_-	-0.214032610548684	9.10882486346984	0.858364304262693	1	552.11495274801
chr1:1736075-1736625_-	1.92093664960951	9.01121279364357	0.077313588241336	1	515.994827568748
chr1:1765625-1768475_-	1.90186699131355	9.2163031538896	0.0460058364168174	1	594.817446761922
chr1:1771975-1773225_-	2.09224518749871	9.02946690393856	0.0532010582037744	1	522.565077553241
chr1:1773475-1774925_-	1.00635469518339	8.8891340839993	0.488693214603039	1	474.128426956767
