log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	0.70023923396995	9.6600171835014	0.373386626191759	1	809.011939185616
chr1:727175-727325_-	0.556319543994988	9.0562555143886	0.792815657322183	1	532.3589480633
chr1:730825-730925_-	0	9.03198969706443	1	1	523.479669254657
chr1:737675-737775_-	0	9.03198969706443	1	1	523.479669254657
chr1:740825-740925_-	-1.25217666735179	9.14913773971717	0.211839456544309	1	567.760133209468
chr1:779725-780725_+	0.308576907202913	9.15148101316994	1	1	568.683057492991
chr1:780675-780775_-	0	9.03198969706443	1	1	523.479669254657
chr1:1104025-1104325_-	-0.525893464405276	9.07521648861168	0.711625667053694	1	539.401786143358
chr1:1112775-1114275_-	-1.12727264652347	9.61633242698687	0.0987789849771545	1	784.882252010746
chr1:1264525-1267225_-	-0.862346654791986	9.47108817482279	0.238961538259897	1	709.711156346086
chr1:1280375-1280475_+	0	9.03198969706443	1	1	523.479669254657
chr1:1316125-1318625_-	-0.21931821945417	9.34949442207772	0.832758640266192	1	652.346392913937
chr1:1395975-1397875_-	-0.868337298834627	9.31948164644616	0.287373343729401	1	638.91564040339
chr1:1402675-1405375_-	0.0958518397719508	9.67776603435848	0.97152707353291	1	819.026336991154
chr1:1407725-1409425_+	-0.512727266399888	9.15316625342459	0.614373642143427	1	569.347735415494
chr1:1482975-1484575_+	-0.407082245915038	9.32034646177915	0.695430028944367	1	639.29874956328
chr1:1555725-1558175_-	0.272323370317179	9.35625200813376	0.895911143876145	1	655.409151926312
chr1:1559575-1561425_-	0.487301364321603	9.34337393692055	0.644091437354924	1	649.584742664288
chr1:1563275-1563775_-	1.00281951185909	9.08173582603979	0.389232131155624	1	541.844783115381
chr1:1569575-1569825_-	-0.289946743315173	9.05678684006946	1	1	532.555044996468
chr1:1571325-1573675_-	1.00697803455347	9.2283310901228	0.25751023555282	1	599.79724697074
chr1:1613375-1613525_-	0	9.03198969706443	1	1	523.479669254657
chr1:1653375-1654075_-	-0.850542299141889	9.07821277784013	0.432210674481392	1	540.523217353943
chr1:1660275-1660375_-	0.378881220112613	9.09495555535072	1	1	546.832642560953
chr1:1663475-1664175_-	1.16597963879379	9.39747585840755	0.15623701843399	1	674.407073783426
chr1:1666875-1668175_-	0.650693572293437	9.10248985684182	0.793242101934403	1	549.695880277129
chr1:1670475-1670575_-	0	9.03198969706443	1	1	523.479669254657
chr1:1680825-1681975_-	-0.784787673380526	9.15937634921215	0.61331500528119	1	571.803780900274
chr1:1685925-1686275_-	0	9.03198969706443	1	1	523.479669254657
