log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	3.47828054559966	9.5704756065702	0.000320037154747904	0.752236664329789	760.32668021432
chr1:727175-727325_-	0.494226707486042	9.12788692838862	0.813781114021053	1	559.458353002652
chr1:730825-730925_-	0	9.1071136400177	1	1	551.460461031348
chr1:737675-737775_-	-0.840752398257722	9.15523178739748	0.462287571173886	1	570.16346522278
chr1:740825-740925_-	0.339290334946299	9.12197013465	1	1	557.168596022632
chr1:779725-780725_+	1.61582515926812	9.21609784855206	0.152848048937696	1	594.732806207656
chr1:780675-780775_-	0	9.1071136400177	1	1	551.460461031348
chr1:1104025-1104325_-	0.560970645065024	9.13240388864823	0.813781114021053	1	561.212716331599
chr1:1112775-1114275_-	-0.917317447696934	9.60600226985544	0.212327160100903	1	779.282317067863
chr1:1264525-1267225_-	-0.837849918954647	9.54993384623595	0.276453435651299	1	749.577504188081
chr1:1280375-1280475_+	0.323848937041142	9.12085658447235	1	1	556.738709046968
chr1:1316125-1318625_-	0.130025912499815	9.38281973598897	1	1	667.590556140642
chr1:1395975-1397875_-	1.61531012404949	9.35825193659973	0.136205550000291	1	656.318339472947
chr1:1402675-1405375_-	0.0635773538729564	9.44806644015422	1	1	698.475857490419
chr1:1407725-1409425_+	-0.355937247813162	9.3040638875063	0.807659975426552	1	632.124046740067
chr1:1482975-1484575_+	0.637843209375215	9.42311376784185	0.504297714835643	1	686.498980594357
chr1:1555725-1558175_-	0.670421724505724	9.3517929883392	0.621440771001946	1	653.386568769637
chr1:1559575-1561425_-	0.327805496563056	9.40114326906082	0.936929669171528	1	676.12363476844
chr1:1563275-1563775_-	0.329751723404085	9.12127520385038	1	1	556.900278486049
chr1:1569575-1569825_-	1.01453214648696	9.1576600037897	0.433427702014025	1	571.123921871208
chr1:1571325-1573675_-	-0.183245934123167	9.42001729041389	0.94782401040925	1	685.027117915417
chr1:1613375-1613525_-	0	9.1071136400177	1	1	551.460461031348
chr1:1653375-1654075_-	1.09024953602175	9.16650188718754	0.430219905454842	1	574.634932234788
chr1:1660275-1660375_-	-0.470409537289227	9.1198418492062	0.784313725490197	1	556.347258495417
chr1:1663475-1664175_-	1.54797956418391	9.61751690892618	0.070289363416689	1	785.526920892742
chr1:1666875-1668175_-	1.62595444435644	9.21843447090364	0.151885452387772	1	595.696829722122
chr1:1670475-1670575_-	0	9.1071136400177	1	1	551.460461031348
chr1:1680825-1681975_-	1.31418675737481	9.241342968775	0.299625848183698	1	605.231375276758
chr1:1685925-1686275_-	-0.572631507673199	9.12498142464146	0.784313725490197	1	558.332770288533
chr1:1706375-1706525_-	0	9.1071136400177	1	1	551.460461031348
