log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	0.13942001493931	9.77562113918306	0.863449927356713	1	876.506596989495
chr1:727175-727325_-	0	8.84570940259268	1	1	460.06994508642
chr1:730825-730925_-	0	8.84570940259268	1	1	460.06994508642
chr1:737675-737775_-	0	8.84570940259268	1	1	460.06994508642
chr1:740825-740925_-	0.600564929869065	8.87046460398374	0.819760235806654	1	468.032402910031
chr1:779725-780725_+	-1.29992758078413	9.00532253490121	0.134050256459903	1	513.892410319123
chr1:780675-780775_-	-0.520545725396722	8.86060625752905	0.769230769230769	1	464.845106343511
chr1:1104025-1104325_-	0.910088093349853	8.94837725279979	0.540315427353297	1	494.003431423358
chr1:1112775-1114275_-	-1.28464533259838	9.56214772990544	0.061108068865421	1	755.950379982465
chr1:1264525-1267225_-	1.17597750951262	9.24080635084057	0.218035457727733	1	605.006298176397
chr1:1280375-1280475_+	0.592118125395618	8.87387242022043	0.819760235806654	1	469.139257520844
chr1:1316125-1318625_-	0.00378268445182556	9.45034389136345	1	1	699.579348445846
chr1:1395975-1397875_-	0.979209414851123	9.03311053592866	0.301379266708188	1	523.886521929631
chr1:1402675-1405375_-	0.672050820901575	9.5860620433755	0.370362833892249	1	768.585550384882
chr1:1407725-1409425_+	-1.03163921774969	9.27107933961292	0.179883147929752	1	617.835663235155
chr1:1482975-1484575_+	-0.476531199655551	9.10177390971035	0.593904796013296	1	549.423157669819
chr1:1555725-1558175_-	0.441739906278457	9.37888335280003	0.560859952557874	1	665.771522780408
chr1:1559575-1561425_-	0.337265370547044	9.42274732758676	0.711698646283614	1	686.324634035113
chr1:1563275-1563775_-	1.23983358604433	9.0383159715043	0.25912497491204	1	525.780188419769
chr1:1569575-1569825_-	0	8.84570940259268	1	1	460.06994508642
chr1:1571325-1573675_-	-0.632853518909312	9.1418779968406	0.48647187495244	1	564.910300594534
chr1:1613375-1613525_-	-1.34314647650415	8.89175137673022	0.108807982873506	1	474.989356787555
chr1:1653375-1654075_-	0	8.84570940259268	1	1	460.06994508642
chr1:1660275-1660375_-	0.0326250015099257	8.8863264919709	1	1	473.206634944861
chr1:1663475-1664175_-	0.562261162828634	9.43618911054883	0.466095126790726	1	692.74909489798
chr1:1666875-1668175_-	-0.375161311107745	9.0835138778846	0.82785331989451	1	542.512992280964
chr1:1670475-1670575_-	-1.0061665881747	8.87745250337796	0.358221774268193	1	470.304883771174
chr1:1680825-1681975_-	0.900027717683573	8.94795805339233	0.539959818010469	1	493.859911236051
chr1:1685925-1686275_-	0.327353858388018	8.85997167545471	1	1	464.640685105695
