log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	2.13485706400257	9.22507740347756	0.0183854771516733	1	598.446058231302
chr1:727175-727325_-	0	8.81423003298315	1	1	450.140022812472
chr1:730825-730925_-	0	8.81423003298315	1	1	450.140022812472
chr1:737675-737775_-	-1.09707289987032	8.85410422123614	0.208237661635913	1	462.754824601182
chr1:740825-740925_-	-0.461616375514874	8.82733128203205	0.807692307692308	1	454.24640359563
chr1:779725-780725_+	-0.182448595569909	8.95445862382758	0.943936432865975	1	496.09019182281
chr1:780675-780775_-	0	8.81423003298315	1	1	450.140022812472
chr1:1104025-1104325_-	-1.09707289987032	8.85410422123614	0.208237661635913	1	462.754824601182
chr1:1112775-1114275_-	-1.0346240448961	9.3320261524747	0.144086922070772	1	644.495355827247
chr1:1264525-1267225_-	-0.810288121726357	9.23559336328823	0.291685148801519	1	602.82413286315
chr1:1280375-1280475_+	-0.694010169303731	8.83420434883277	0.387158580009898	1	456.415617771307
chr1:1316125-1318625_-	0.320240319596637	9.3840360169423	0.74363598411722	1	668.15361349156
chr1:1395975-1397875_-	-0.418154210911721	9.03338183006325	0.712072802134706	1	523.985046358351
chr1:1402675-1405375_-	0.98605735659362	9.19885663900279	0.279588662753027	1	587.667636299929
chr1:1407725-1409425_+	0.476614352696446	8.97534117305716	0.631296615186112	1	503.323159824892
chr1:1482975-1484575_+	0.608283557913674	9.11540689744061	0.604236123868738	1	554.639631709956
chr1:1555725-1558175_-	0.110380817630106	9.42567519275713	0.988213843642349	1	687.718904037749
chr1:1559575-1561425_-	1.44209435747207	9.14061806885734	0.127127803591152	1	564.41717101656
chr1:1563275-1563775_-	0.803765809009234	9.03284854368894	0.478401085485715	1	523.791393203546
chr1:1569575-1569825_-	0.719261660073967	8.84621509737003	0.771773964625283	1	460.231237488369
chr1:1571325-1573675_-	-0.101128898123595	8.9558000957115	0.944117576512571	1	496.551689589499
chr1:1613375-1613525_-	0	8.81423003298315	1	1	450.140022812472
chr1:1653375-1654075_-	0.326652177020826	8.82769804334129	1	1	454.361896599532
