log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	1.65555491147053	7.1626986757061	0.00252347799496221	0.139347196049696	143.280520754067
chr1:727175-727325_-	0.374328464852206	6.34298754419356	0.876222854136199	1	81.1763487010103
chr1:730825-730925_-	0.481658239504598	6.43090729968555	0.640184182361881	0.978039589823234	86.2771909154724
chr1:737675-737775_-	-0.311193930824267	6.42226235676046	0.78872650488649	1	85.7617450692915
chr1:740825-740925_-	0	6.32667391208567	1	1	80.2635973053681
chr1:779725-780725_+	0.909420984042488	6.90476198069206	0.14278573254181	0.598667686077609	119.823077340442
chr1:780675-780775_-	0.170854012799814	6.33272208797557	1	1	80.6007907734912
chr1:1104025-1104325_-	1.0521147200256	6.49602505825561	0.177535804629451	0.642845683872555	90.2606371997392
chr1:1112775-1114275_-	0.718025162731097	7.4084205449517	0.113162564869353	0.554130082838844	169.885692381843
chr1:1264525-1267225_-	0.939947195549808	7.74472553404842	0.0361068718013856	0.363408501028105	214.483898039677
chr1:1280375-1280475_+	-1.01563984171753	6.64211195482898	0.117736914543236	0.554130082838844	99.8791719025123
chr1:1316125-1318625_-	1.13143032140386	7.40422336741414	0.0217813658407056	0.306493279573777	169.392168673549
chr1:1395975-1397875_-	0.248046189489116	7.08488824632773	0.681465979259116	1	135.75751447415
chr1:1402675-1405375_-	-0.101934165870299	7.49911660676693	0.821196218894268	1	180.908527875757
chr1:1407725-1409425_+	0.964184267256735	7.32908298786269	0.0581004228346677	0.438596646711279	160.795473926727
chr1:1482975-1484575_+	0.0955337059380035	7.27074337215072	0.891849455496729	1	154.422950392226
chr1:1555725-1558175_-	1.57129524219798	7.49648031520931	0.00137754715602844	0.110633667608416	180.5782486951
chr1:1559575-1561425_-	0.7281882338589	7.24427596770016	0.127345555090046	0.564838307329662	151.615765552299
chr1:1563275-1563775_-	-0.372414010677403	6.78164677950616	0.587448358658614	0.958920970881437	110.021889865068
chr1:1569575-1569825_-	0.167036010857578	6.39331624409691	1	1	84.0581758712991
chr1:1571325-1573675_-	0.771546299279952	7.22935687422874	0.121230870571547	0.554130082838844	150.055966518799
chr1:1613375-1613525_-	0.0173205325514967	6.44814055898719	1	1	87.313967848884
chr1:1653375-1654075_-	0.708665017270451	6.80544050933224	0.256531083208389	0.736064806290657	111.851477948234
chr1:1660275-1660375_-	-0.0143660498537748	6.56856994718591	1	1	94.915378233251
chr1:1663475-1664175_-	0.272024993780741	7.08060766958433	0.618543230799733	0.970407986842263	135.355309446534
chr1:1666875-1668175_-	1.68571369178266	6.78712991923028	0.0173848100178359	0.283635468208626	110.440837198735
chr1:1670475-1670575_-	-0.897000270435391	6.54963034297547	0.170597368134168	0.626706069555521	93.67747879166
chr1:1680825-1681975_-	0.796589791286895	7.33469383215882	0.106813672847626	0.540730482322271	161.422047808915
chr1:1685925-1686275_-	0.856211508180753	6.55479532831207	0.404160566558219	0.857627992485292	94.0134541202642
chr1:1706375-1706525_-	0.773466141240964	6.40704221172047	0.446962818169607	0.869701055057965	84.8617315866813
chr1:1716975-1717075_-	-1.08147279422644	6.35991019264189	0.109445644901501	0.545828305394966	82.1341444576322
chr1:1719825-1719925_-	0.233266480813791	6.36840680314047	1	1	82.6192926342981
chr1:1729375-1730075_-	0.0389413208906274	7.07171544624779	1	1	134.523596630868
chr1:1730975-1731675_-	-0.247288431397911	6.56424342881915	0.778381157065855	1	94.6311615596243
chr1:1732875-1734575_-	1.29849757222053	7.16126062175994	0.0113118014091062	0.246748241988369	143.137772317694
chr1:1736075-1736625_-	1.49635493585575	6.73580291841451	0.039742505990798	0.38284194910316	106.580738051772
chr1:1765625-1768475_-	1.32339291135669	7.76505203044005	0.00296512009494653	0.152165341397285	217.527204702901
chr1:1771975-1773225_-	0.960628505754355	7.37868168313718	0.0398640094249734	0.383489799901132	166.419615810482
chr1:1773475-1774925_-	0.432663582004115	6.96650533764551	0.490470344467128	0.90880360984747	125.062490095156
chr1:1784325-1784725_-	0.636708275267181	6.68489502854797	0.380501273237148	0.830518221168944	102.885440529597
chr1:1791175-1791425_-	-0.500131833978568	6.94442232153415	0.317307174533033	0.772412544487278	123.162762476853
chr1:1792425-1792725_-	-0.196278337110196	6.41563490691655	0.788743681470884	1	85.3686764516188
chr1:1794225-1795775_-	1.13679114069064	7.14365813100303	0.0422278148924968	0.385375534362067	141.401942697539
chr1:1797425-1799175_-	0.661430432189408	6.95900280993333	0.265318815241834	0.745251013834334	124.413808781825
chr1:1801025-1801375_-	0.98412301016918	6.47913308122298	0.214647033372588	0.689408276141186	89.2099720591369
chr1:1802625-1804125_-	-0.833014711329056	6.76768885785807	0.161502220880623	0.617613057479874	108.96257239401
chr1:1805175-1805475_-	2.0156632144841	6.49691508576953	0.0122459021372323	0.246748241988369	90.3163379773242
chr1:1806925-1806975_-	0.358581372521658	6.4192717861265	0.766024805860653	1	85.5841531965835
chr1:1807175-1808875_-	0.437372440756336	7.34730713857572	0.350164750764349	0.812969749617981	162.839528444855
chr1:1809375-1809475_-	-0.283089136491823	6.37114756268244	0.859909799912165	1	82.7763977977486
chr1:1810025-1812125_-	-0.0563348809598197	7.14185748872037	0.879390770511233	1	141.225567592342
chr1:1813175-1813375_-	-0.0551043936555659	6.41834040299187	1	1	85.5289191312998
chr1:1819275-1820225_-	0.154512718617989	6.98578979437569	0.810570995769411	1	126.745419018965
chr1:1821825-1823225_-	0.857146276292713	7.72082237498923	0.0503312113346229	0.422259733134102	210.959518754989
chr1:1829775-1832075_-	0.188648340641827	7.58678308826861	0.750312377518404	1	192.242444486525
chr1:1835925-1839125_-	0.355471785133399	7.66199249358672	0.451275088129465	0.873399103641615	202.530095326683
chr1:1839725-1841475_-	0.52220856524505	6.94546511828228	0.366030267260097	0.819928972142194	123.2518181348
chr1:1843225-1843325_-	-0.2158939190752	6.3470738818077	1	1	81.406601235589
