raw_id	ENSG_ID	Symbol	log2FoldChange	logCPM	pvalue	padj	baseMean
ENSG00000002079.14|6307|MYH16|transcribed_unitary_pseudogene	ENSG00000002079	MYH16	-0.491744043644249	3.22979577913441	0.330388030396415	0.608389170551999	9.38135152154546
ENSG00000078319.10|5854|PMS2P1|transcribed_unprocessed_pseudogene	ENSG00000078319	PMS2P1	-0.0241028376780196	3.97041051735872	0.872552991475536	0.964948337309854	15.6751844841384
ENSG00000080947.15|6905|CROCCP3|transcribed_unprocessed_pseudogene	ENSG00000080947	CROCCP3	-0.805450846132238	4.584083805892	0.0584492799285622	0.242692710760478	23.9853868943745
ENSG00000088340.17|10228|FER1L4|transcribed_unitary_pseudogene	ENSG00000088340	FER1L4	-1.68924413158213	4.63833684169109	6.33131657010972e-5	0.00512447877126337	24.9045397045709
ENSG00000093100.13|4328|XXbac-B461K10.4|lncRNA	ENSG00000093100	XXbac-B461K10.4	-0.266448005719457	3.17227608842677	0.401259314308135	0.669636406786248	9.01467880123134
ENSG00000099725.14|7674|PRKY|transcribed_unitary_pseudogene	ENSG00000099725	PRKY	0.529444428710664	3.703406695763	0.445170715945632	0.704834194809138	13.0267626882542
ENSG00000100058.12|6435|CRYBB2P1|transcribed_unprocessed_pseudogene	ENSG00000100058	CRYBB2P1	-0.0658209222296325	3.53305597545775	0.959637929208659	1	11.5759282153608
ENSG00000100068.14|4687|LRP5L|transcribed_unprocessed_pseudogene	ENSG00000100068	LRP5L	0.0275048115247788	3.56988027122262	0.778072040492737	0.919652945318195	11.8752030050244
ENSG00000100181.22|9653|TPTEP1|transcribed_unprocessed_pseudogene	ENSG00000100181	TPTEP1	-0.272117706682844	3.05832438529572	0.703381990694036	0.875991892284044	8.330045554618
ENSG00000103472.10|2271|RRN3P2|lncRNA	ENSG00000103472	RRN3P2	0.669564421038488	3.70513641709708	0.195533811116101	0.461784099096048	13.0423905111033
ENSG00000106133.18|2576|NSUN5P2|transcribed_unprocessed_pseudogene	ENSG00000106133	NSUN5P2	0.711986361148924	4.07897156443022	0.112441934902032	0.346703083655763	16.9002368980859
ENSG00000111788.10|3158|RP11-22B23.1|unprocessed_pseudogene	ENSG00000111788	RP11-22B23.1	-0.984304129151337	4.7180126470872	0.0130414689083446	0.106810169452789	26.3186329146308
ENSG00000117242.7|4443|PINK1-AS|lncRNA	ENSG00000117242	PINK1-AS	-0.798757347985161	3.60954479797099	0.0538376128545287	0.23248463128458	12.2062217325006
ENSG00000124224.17|9263|PPP4R1L|transcribed_unprocessed_pseudogene	ENSG00000124224	PPP4R1L	0.0795104547718995	4.1173708057647	0.812071806448546	0.93541210625282	17.3560988843479
