log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	-0.792116785365299	10.3949908796312	0.251646965905476	1	1346.4928742211
chr1:727175-727325_-	-0.408836783039603	8.23008370808612	0.748328506132887	1	300.263168374671
chr1:730825-730925_-	-1.25473889848047	8.09928250044043	0.20212247562223	1	274.237585143519
chr1:737675-737775_-	-0.596452988631666	8.06772194812559	0.807692307692308	1	268.303478385358
chr1:740825-740925_-	-0.963238146056859	8.23322012400582	0.331989332478388	1	300.91664993407
chr1:779725-780725_+	0.793003664296316	8.17542134784814	0.635742684463465	1	289.099308510698
chr1:780675-780775_-	0	8.05228342523134	1	1	265.447625358365
chr1:1104025-1104325_-	0	8.05228342523134	1	1	265.447625358365
chr1:1112775-1114275_-	-0.69050606540639	8.43101795103244	0.429378915928683	1	345.13523371474
chr1:1264525-1267225_-	-0.226892886392901	8.50702898994959	0.840198837048145	1	363.806873426098
chr1:1280375-1280475_+	0.359492368932879	8.06772445655272	1	1	268.303944887488
chr1:1316125-1318625_-	1.33797463645335	8.9557689758365	0.0879400907270655	1	496.540978760522
chr1:1395975-1397875_-	0.947148011723386	8.39580234742206	0.34295709045866	1	336.812611134825
chr1:1402675-1405375_-	1.04777823173235	8.91888380710191	0.213380677752641	1	484.006900881414
chr1:1407725-1409425_+	2.07516206376926	8.31489498510272	0.0403169988059227	1	318.443802627982
chr1:1482975-1484575_+	0.164346681906769	8.39283657144933	1	1	336.12093015977
chr1:1555725-1558175_-	0.457156806132434	8.76853782312853	0.595006179304742	1	436.106844593522
chr1:1559575-1561425_-	0.240102483141937	8.84979236440818	0.791892647282647	1	461.37383022222
chr1:1563275-1563775_-	1.49038115859006	8.4556144947883	0.077128627690326	1	351.069899307023
chr1:1569575-1569825_-	-1.73746565864427	8.13206908050055	0.0453686123926791	1	280.541245032588
chr1:1571325-1573675_-	0.050324552680519	8.67481178349554	0.996796098293744	1	408.675453826015
chr1:1613375-1613525_-	0	8.05228342523134	1	1	265.447625358365
chr1:1653375-1654075_-	-0.29457217623956	8.24723573479421	0.854329322975819	1	303.854265599139
chr1:1660275-1660375_-	0	8.05228342523134	1	1	265.447625358365
chr1:1663475-1664175_-	0.276810341016563	8.81780749488037	0.749460147448649	1	451.2576235494
chr1:1666875-1668175_-	-0.140183162972082	8.19638412475274	1	1	293.330672241394
chr1:1670475-1670575_-	0	8.05228342523134	1	1	265.447625358365
chr1:1680825-1681975_-	1.06169221005661	8.21105684989583	0.380928925333061	1	296.329172272677
chr1:1685925-1686275_-	0.369804844383891	8.06862892575636	1	1	268.472205492676
chr1:1706375-1706525_-	-0.295815114426945	8.05861205260908	0.807692307692308	1	266.614614278897
chr1:1716975-1717075_-	-0.982111461322283	8.08684687507214	0.382506527302967	1	271.883892968246
chr1:1719825-1719925_-	0	8.05228342523134	1	1	265.447625358365
chr1:1729375-1730075_-	-1.26740128696045	8.42008855705783	0.144111936624728	1	342.530478954014
chr1:1730975-1731675_-	0.804833169450458	8.14281775487852	0.486078136738208	1	282.639198874058
chr1:1732875-1734575_-	-0.191520411429404	8.31005626311019	0.879693026887136	1	317.377548228228
chr1:1736075-1736625_-	1.31244411022526	8.21795097688267	0.17481202069958	1	297.748612896345
chr1:1765625-1768475_-	-0.0746892079938138	8.96027344773642	0.948938439793717	1	498.093732579329
chr1:1771975-1773225_-	0.877682783650264	8.4542582677793	0.297437785393171	1	350.740025883098
chr1:1773475-1774925_-	-0.312524448277577	8.4898931619836	0.783651166769006	1	359.511263787067
chr1:1784325-1784725_-	0.782222672664166	8.08798600194613	0.52220856349743	1	272.098652528236
chr1:1791175-1791425_-	0.751360767520864	8.13634481906593	0.605554578531187	1	281.373922947005
chr1:1792425-1792725_-	-0.224871913584646	8.16166207702098	0.856048743868839	1	286.355216923661
chr1:1794225-1795775_-	-0.0291518587209255	8.52332135243159	1	1	367.938632386744
chr1:1797425-1799175_-	1.51762924987549	8.73740302274538	0.0557253337490418	1	426.796052632252
chr1:1801025-1801375_-	-0.869480784489344	8.13454305705917	0.494371491300534	1	281.022738262624
chr1:1802625-1804125_-	1.49510758363357	8.56710963201071	0.0733041429546936	1	379.277408912895
chr1:1805175-1805475_-	-1.28107400807789	8.10072587227454	0.116102611079294	1	274.512088671517
chr1:1806925-1806975_-	0	8.05228342523134	1	1	265.447625358365
chr1:1807175-1808875_-	-0.181829976887616	8.35354983963118	0.927759041818115	1	327.091359591968
chr1:1809375-1809475_-	0.465241316668437	8.1089805550722	0.974960297484876	1	276.08726933013
chr1:1810025-1812125_-	-0.962484798216876	8.20508399516986	0.402247560722589	1	295.104885586383
chr1:1813175-1813375_-	0.853515938533101	8.09463458293051	0.52220856349743	1	273.355498075133
chr1:1819275-1820225_-	0.494678867792219	8.20443550855441	0.743830152694972	1	294.972266731368
chr1:1821825-1823225_-	-0.368627094528706	8.50475827029734	0.710676348987148	1	363.234712564064
chr1:1829775-1832075_-	-1.87672197228856	8.14384106182226	0.030525829165663	1	282.839746630449
chr1:1835925-1839125_-	-0.436037815260181	8.64231182099318	0.587561126610607	1	399.572039154863
chr1:1839725-1841475_-	0.513967029682207	8.28964527036688	0.642503795148107	1	312.918961163653
chr1:1843225-1843325_-	-0.33648605961052	8.06002557624475	0.807692307692308	1	266.875965937718
chr1:1845425-1846875_-	-1.47427586598496	8.4121433691902	0.0848773749212436	1	340.649285180978
chr1:1849575-1852725_-	-0.349896776902557	9.07830234460267	0.644456484173391	1	540.556775670928
chr1:1854625-1856775_-	1.10501138497741	8.64215281968515	0.167778194166866	1	399.528004224258
chr1:1859075-1859925_-	0.624453780731077	8.2001489904569	0.745181011331026	1	294.097149404489
chr1:1860875-1862775_-	0.0817244810361761	8.73476059350387	0.959472196336486	1	426.015051691066
chr1:1864975-1867225_-	0.326071844200578	8.68454714743789	0.696957467009259	1	411.442537860193
chr1:1868225-1868675_-	-1.19776745447521	8.10030220746849	0.202234095334548	1	274.431486719912
chr1:1869875-1872275_-	-1.52810187224543	9.09995162562572	0.0374353085576916	1	548.729613298262
chr1:1875175-1875575_-	0.313792823528672	8.18834381015653	0.860053650896409	1	291.700451724579
chr1:1879525-1880425_-	1.44466475339875	8.35064284256716	0.133370280178829	1	326.432941655963
chr1:1884425-1884525_-	-0.643812058283734	8.06987224611109	0.807692307692308	1	268.703675639456
chr1:1885725-1886375_-	-0.182409043670791	8.2798999943211	0.955510136174062	1	310.81234456489
chr1:2162125-2162325_+	0.838904192281645	8.09342461554914	0.52220856349743	1	273.126334899649
chr1:2243975-2244575_+	0.802348602223821	8.1794613056943	0.636089313515633	1	289.910003639868
chr1:2262925-2265925_+	-0.749809045443995	8.67704264336472	0.388053737601207	1	409.307883336483
chr1:2285325-2286425_+	-0.255140672606816	8.15950621832852	0.856163600605007	1	285.927628042672
chr1:2370675-2371925_-	-0.499537341056996	8.21241256428466	0.647196725035708	1	296.607766520821
chr1:3513825-3514025_-	0.315261169248436	8.06431028502154	1	1	267.66974804824
chr1:3627075-3627275_+	-0.87120352266101	8.07857968675935	0.382506527302967	1	270.330350859111
chr1:3785875-3786525_-	0.658797810373687	8.08425565673085	0.767121911918352	1	271.396001761396
chr1:3812675-3813875_-	0.981831221750365	8.33529775841597	0.409766622510593	1	322.979269605049
chr1:3826975-3827525_-	-0.82594795238977	8.14359334303516	0.494968391947596	1	282.791185637248
chr1:3835425-3836275_-	0.735665746816448	8.09206911358626	0.52220856349743	1	272.869836191946
chr1:3860325-3861775_+	0.500388144212735	8.28111866050753	0.718121105386108	1	311.075003344506
chr1:3864575-3864825_+	0	8.05228342523134	1	1	265.447625358365
chr1:3897625-3898475_-	0.988643849778539	8.10188155446864	0.371291318834949	1	274.732076836152
chr1:6008375-6008675_+	0	8.05228342523134	1	1	265.447625358365
chr1:6051775-6052425_+	-0.756059743815386	8.33250868939054	0.430990733692811	1	322.355477832178
chr1:6053775-6056275_+	0.00603834195175237	8.77500170234566	1	1	438.065170055615
chr1:6057825-6058175_+	0.85170640594585	8.13385074731071	0.605989493571591	1	280.887915515998
chr1:6059175-6059525_+	-0.18829406053337	8.14187667106722	0.920425697063831	1	282.454890733509
chr1:6123475-6123625_-	-0.503597303636121	8.06816439376476	0.807692307692308	1	268.385774300589
chr1:6188175-6189075_-	0.632070966147612	8.08152865341666	0.767121911918352	1	270.883489592183
chr1:6190375-6193775_-	0.0335513637440469	10.2339669630383	1	1	1204.28986237437
chr1:6222125-6223425_-	1.18312328362437	8.55357119008732	0.18189993182907	1	375.734867159376
chr1:6522025-6523525_-	-0.483840191038122	8.3031832532314	0.598309069132949	1	315.869155084611
chr1:6524725-6525325_-	0.273150784137776	8.21137859308313	0.93686063501454	1	296.395265606208
chr1:6540025-6541325_-	-0.490121273934233	8.17514991206375	0.666298905715115	1	289.044921052665
chr1:6542325-6543975_-	0.590769230161808	8.07823677727185	0.767121911918352	1	270.26610455364
chr1:6547625-6549325_-	0.448540118128785	8.19980389144869	0.745007323517134	1	294.026808484249
chr1:6577275-6577425_+	0.312553284925431	8.06412319833983	1	1	267.635039259001
chr1:6581525-6581625_+	0	8.05228342523134	1	1	265.447625358365
chr1:6627425-6627575_+	0.314925227800603	8.06428694880084	1	1	267.66541840849
chr1:6630575-6632225_+	0.781517710069894	8.15058664973333	0.486467002254873	1	284.165312809704
chr1:6646925-6647825_-	0.584356390704383	8.18449858730268	0.860497436032734	1	290.924016119952
chr1:6648975-6649875_-	0.814745370357273	8.12111286070165	0.763723221507859	1	278.418807653322
chr1:6659575-6660475_-	-0.137411792309133	8.08834882189755	1	1	272.167090577802
chr1:6800125-6800375_+	0	8.05228342523134	1	1	265.447625358365
chr1:6803775-6803975_+	0.761182000928095	8.08622291719743	0.52220856349743	1	271.766330065884
chr1:6838725-6840175_+	0.669732708562821	8.13779555725545	0.604779668609264	1	281.657007861428
chr1:6844325-6844725_+	0.394769091025544	8.0710172686095	1	1	268.917022100337
chr1:6846975-6848475_+	0.953204903394287	8.09946915436025	0.52220856349743	1	274.273067924153
chr1:6851575-6852025_+	0.359754650435972	8.06774690672455	1	1	268.308120070989
chr1:6882925-6883225_+	0	8.05228342523134	1	1	265.447625358365
chr1:7849375-7849525_-	0.638386716872932	8.08202829305285	0.767121911918352	1	270.977319239827
chr1:7867075-7867175_-	0	8.05228342523134	1	1	265.447625358365
chr1:7883875-7884075_-	0.888008727194704	8.09782437091493	0.52220856349743	1	273.960553684566
chr1:7886775-7887025_-	0	8.05228342523134	1	1	265.447625358365
chr1:7908825-7910825_-	0.813694084283542	8.9153253416776	0.349923284648582	1	482.814549462443
chr1:7967775-7968775_+	1.54567453288188	8.15251131999797	0.1606735861595	1	284.544664990904
chr1:7969875-7970225_+	0	8.05228342523134	1	1	265.447625358365
chr1:7974375-7975025_+	-0.494800093467052	8.06761905713186	0.807692307692308	1	268.284344038638
chr1:7998875-7999125_+	-0.504457006024954	8.06821852800353	0.807692307692308	1	268.395845127592
chr1:8399875-8402175_-	-0.28845813676889	8.89761376898973	0.717657821323061	1	476.923403193388
chr1:8403825-8404575_-	-0.084117457128441	8.27703065169221	1	1	310.194791440248
chr1:8405675-8406375_-	-0.731738472237725	8.45005108838174	0.430798860065306	1	349.718689666875
chr1:8412375-8414575_-	-0.476879610178992	9.15032602427539	0.531992103313638	1	568.227964941325
chr1:8436175-8436325_-	0	8.05228342523134	1	1	265.447625358365
chr1:8438025-8438325_-	-1.5611130802572	8.11563133279464	0.0708138147792225	1	277.362960948572
chr1:8470325-8471025_-	0.783030527527013	8.08805492433021	0.52220856349743	1	272.111651904595
chr1:8531225-8531425_-	0.236544603841868	8.10637835216675	0.974960297484876	1	275.58973690692
chr1:8542525-8542825_-	0	8.05228342523134	1	1	265.447625358365
chr1:8545725-8546875_-	0.610193642998051	8.07954103379883	0.767121911918352	1	270.510546867929
chr1:8592325-8592725_-	-0.541465446122168	8.07069932351451	0.807692307692308	1	268.857763958493
chr1:8605125-8606125_-	0.102578885938619	8.19607249197905	1	1	293.267317494658
chr1:8607075-8608475_-	-1.41660438509878	8.23035697524359	0.125513635053931	1	300.320047917193
chr1:8634775-8635025_-	0.283279822843462	8.06224067937627	1	1	267.286040023427
chr1:8636025-8636525_-	-0.554083612291311	8.07161669675467	0.807692307692308	1	269.028778167794
chr1:8651575-8652025_-	-0.421151446136418	8.0636121042742	0.807692307692308	1	267.540242749658
chr1:8710525-8711225_-	0	8.05228342523134	1	1	265.447625358365
chr1:8720075-8720275_-	0	8.05228342523134	1	1	265.447625358365
chr1:8721325-8721625_-	0.393847737086349	8.07092375431573	1	1	268.899591687334
chr1:8728875-8729425_-	0.179728886257518	8.0990686201333	1	1	274.196932289143
chr1:8736275-8736475_-	0	8.05228342523134	1	1	265.447625358365
chr1:8743425-8743575_-	0	8.05228342523134	1	1	265.447625358365
chr1:8745775-8746125_-	-0.051909713606755	8.07287007872027	1	1	269.262606056456
chr1:8769525-8770125_-	0.293802332847758	8.06288899778192	1	1	267.406180036377
chr1:8776325-8777025_-	0.827394050877373	8.15257960646234	0.485558216875905	1	284.558133539998
chr1:8777675-8779675_-	0.23257033406119	8.20409346913182	1	1	294.9023419157
chr1:8785625-8785925_-	-0.329943262582864	8.05978596364774	0.807692307692308	1	266.831645044254
chr1:8787525-8788675_-	-0.794861849459252	8.0746621531034	0.382506527302967	1	269.597284160218
chr1:8790625-8790875_-	0	8.05228342523134	1	1	265.447625358365
chr1:8793825-8795475_-	0.432390191175084	8.17004416831326	0.755842351106392	1	288.023789834526
chr1:8797975-8798075_-	0	8.05228342523134	1	1	265.447625358365
chr1:8799525-8801525_-	-0.288250961142457	8.20905584881679	0.943570603408763	1	295.918452088634
chr1:8803175-8803825_-	0	8.05228342523134	1	1	265.447625358365
chr1:8805075-8807325_-	0.31779055564479	8.27476110301497	0.95044326282944	1	309.70719793989
chr1:8813675-8813925_-	0	8.05228342523134	1	1	265.447625358365
chr1:8857575-8857975_-	-1.57447600633824	8.12731863185401	0.0707717351496209	1	279.619009202466
chr1:8876625-8877725_-	2.31890329229332	8.33910637681572	0.0284150680711041	1	323.833039723464
chr1:8910075-8910225_-	0	8.05228342523134	1	1	265.447625358365
chr1:8914875-8915125_-	0	8.05228342523134	1	1	265.447625358365
chr1:8920775-8920925_-	0	8.05228342523134	1	1	265.447625358365
chr1:8959425-8959775_-	0	8.05228342523134	1	1	265.447625358365
chr1:8963575-8965875_-	-0.245356056158653	8.23410321980275	0.893831253305504	1	301.100902024132
