log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	-1.14015314210349	10.7041635795874	0.0928795088764481	1	1668.30063826134
chr1:727175-727325_-	-0.309912627240389	8.23541899092193	0.956632232660326	1	301.37563824844
chr1:730825-730925_-	-0.900155504173528	8.07178877089852	0.361663710179992	1	269.060867872278
chr1:737675-737775_-	-0.367943836075564	8.05297051147521	0.784313725490196	1	265.574075401011
chr1:740825-740925_-	-1.5708501477002	8.17566166831907	0.118254582244094	1	289.147469949481
chr1:779725-780725_+	-1.22601150420241	8.32463557918928	0.173552964398224	1	320.601103099489
chr1:780675-780775_-	0	8.04428214261995	1	1	263.979510075993
chr1:1104025-1104325_-	0.389351185192849	8.10145858380257	1	1	274.651542437986
chr1:1112775-1114275_-	-2.08100169884967	8.45221111692617	0.0196233288828278	1	350.242686848533
chr1:1264525-1267225_-	-0.339057508250979	8.76757470948667	0.645372914045316	1	435.81580575849
chr1:1280375-1280475_+	0.0839865221069783	8.07077754194984	1	1	268.872340984903
chr1:1316125-1318625_-	-0.0729494135996651	8.9230592451517	0.91711626490475	1	485.409739383561
chr1:1395975-1397875_-	0.934421307438651	8.44782854750099	0.359887953484205	1	349.180346036678
chr1:1402675-1405375_-	1.49960738243083	8.71033750615416	0.0826203117555237	1	418.863832128271
chr1:1407725-1409425_+	-1.6651883234529	8.24619830620011	0.0798338382633627	1	303.635845362455
chr1:1482975-1484575_+	0.12098706172653	8.40799435014069	0.955058107800015	1	339.671025776016
chr1:1555725-1558175_-	0.702422329485685	8.96879344881664	0.409471186905648	1	501.04398521516
chr1:1559575-1561425_-	-0.136468125150359	8.59127870020276	0.869117793006555	1	385.68485896335
chr1:1563275-1563775_-	-1.12734702216083	8.4856282115751	0.164279229565938	1	358.450032201117
chr1:1569575-1569825_-	-1.36376839053665	8.13914325776804	0.177073571096784	1	281.920242041841
chr1:1571325-1573675_-	0.124950606052431	8.45449356909816	1	1	350.797235701472
chr1:1613375-1613525_-	0	8.04428214261995	1	1	263.979510075993
chr1:1653375-1654075_-	0.00245655622865398	8.13508898338933	1	1	281.12909943993
chr1:1660275-1660375_-	-0.547697520104859	8.06258536351444	0.784313725490196	1	267.349906788218
chr1:1663475-1664175_-	-0.782938882529326	8.71726163122146	0.284934415204177	1	420.878974932011
chr1:1666875-1668175_-	-0.603762075350981	8.17408753872945	0.623214229248115	1	288.832152190232
chr1:1670475-1670575_-	-0.789394756628566	8.06898779074723	0.361663710179992	1	268.538995255308
chr1:1680825-1681975_-	0.643083759424827	8.19850249717556	0.56123733188571	1	293.761698906764
chr1:1685925-1686275_-	0	8.04428214261995	1	1	263.979510075993
chr1:1706375-1706525_-	0	8.04428214261995	1	1	263.979510075993
chr1:1716975-1717075_-	-0.229353211254078	8.09387362918461	0.990987096279281	1	273.211353931019
chr1:1719825-1719925_-	0	8.04428214261995	1	1	263.979510075993
chr1:1729375-1730075_-	-0.708980919568802	8.50983636695348	0.383270232051821	1	364.515503729072
chr1:1730975-1731675_-	0.265636807242787	8.15083548080436	0.940207085601692	1	284.21432889094
chr1:1732875-1734575_-	-1.17298525923349	8.2603377842376	0.184317223103105	1	306.626331687048
chr1:1736075-1736625_-	-0.57587353375187	8.095578934509	0.711731662814563	1	273.534488225077
chr1:1765625-1768475_-	-1.13080503766403	9.11178322886949	0.121768421543069	1	553.248271668024
chr1:1771975-1773225_-	0.599916771608978	8.50845410853065	0.504611372358114	1	364.166425570229
chr1:1773475-1774925_-	-0.99053856147556	8.46783667057213	0.219335293876302	1	354.056715525264
chr1:1784325-1784725_-	0	8.04428214261995	1	1	263.979510075993
chr1:1791175-1791425_-	-1.0791468240499	8.20560590720219	0.283366571484811	1	295.21166258959
chr1:1792425-1792725_-	0.175082171004287	8.1006496206766	1	1	274.49758010826
chr1:1794225-1795775_-	1.34330514350846	8.70973013828083	0.11559981902959	1	418.687529525363
chr1:1797425-1799175_-	-1.27185650670286	8.78946168573776	0.0892723526049857	1	442.477929385334
chr1:1801025-1801375_-	-0.0629221924299036	8.14444833387856	1	1	282.958827118189
chr1:1802625-1804125_-	0.947677731619269	8.57735139696096	0.29979148207906	1	381.979498178073
chr1:1805175-1805475_-	-0.319064557626662	8.05117574288886	0.784313725490196	1	265.243896371162
chr1:1806925-1806975_-	-1.35657572842276	8.09855689868297	0.104659263215419	1	274.099692355171
chr1:1807175-1808875_-	1.09172483317527	8.46169213954498	0.300336689910613	1	352.55197186237
chr1:1809375-1809475_-	-0.609153605489324	8.099559547546	0.711731662814563	1	274.290253256037
chr1:1810025-1812125_-	-1.60730093937305	8.24875110982044	0.0620523301907364	1	304.173595091691
chr1:1813175-1813375_-	-0.135557453819392	8.08894030032351	0.99088511243129	1	272.278696954684
chr1:1819275-1820225_-	1.77160026281809	8.16432695029401	0.105180115080428	1	286.884646606898
chr1:1821825-1823225_-	-0.880426728913773	8.54147817917811	0.266198821865735	1	372.598531789029
chr1:1829775-1832075_-	-1.39946267239881	8.20881046119766	0.144278340308983	1	295.868123677433
chr1:1835925-1839125_-	-0.846595382635064	8.63085557100647	0.27332772671134	1	396.411655285637
chr1:1839725-1841475_-	-0.47446389039227	8.3563544361912	0.60312013619599	1	327.727843066574
chr1:1843225-1843325_-	-0.63618510821177	8.06100750925774	0.784313725490196	1	267.057669980761
chr1:1845425-1846875_-	-0.549624397987217	8.3640951656178	0.602132175134871	1	329.490981062772
chr1:1849575-1852725_-	-0.978327037468559	9.17765308252504	0.177412602640211	1	579.093736533316
chr1:1854625-1856775_-	0.296269666446101	8.83181515787143	0.758346458144586	1	455.66039119989
chr1:1859075-1859925_-	0.115978350168131	8.26732989142961	1	1	308.116021431925
chr1:1860875-1862775_-	-0.780562640627244	8.84533956751535	0.2938243503884	1	459.952021206617
chr1:1864975-1867225_-	-0.44480239036135	8.65484148642804	0.617005688966634	1	403.057396350241
chr1:1868225-1868675_-	1.51414168815421	8.2878520882021	0.156115521421212	1	312.530263546156
chr1:1869875-1872275_-	-1.03624980868327	9.0626636002822	0.16230409125022	1	534.728810917016
chr1:1875175-1875575_-	-0.388765807998786	8.20800214274114	0.730287062231406	1	295.70240003294
chr1:1879525-1880425_-	0.150380924394642	8.54420627862586	0.959629335137756	1	373.303772675305
chr1:1884425-1884525_-	0	8.04428214261995	1	1	263.979510075993
chr1:1885725-1886375_-	-1.95826552010663	8.43210113912158	0.0159282487599433	1	345.394461578148
chr1:2162125-2162325_+	0	8.04428214261995	1	1	263.979510075993
chr1:2243975-2244575_+	-0.0853456798731656	8.0928000297717	1	1	273.008115942915
chr1:2262925-2265925_+	0.189302756732146	8.34765862393714	0.937207154402457	1	325.75841209875
chr1:2285325-2286425_+	0.390636143081183	8.0626729943576	1	1	267.366146401322
chr1:2370675-2371925_-	-0.237199409147344	8.19485616888085	0.898679482679524	1	293.020170678594
chr1:3513825-3514025_-	0	8.04428214261995	1	1	263.979510075993
chr1:3627075-3627275_+	0	8.04428214261995	1	1	263.979510075993
chr1:3785875-3786525_-	2.0572329961094	8.39073780891262	0.0417218487037671	1	335.632313282103
chr1:3812675-3813875_-	-0.70651330948956	8.2737418051846	0.469620976620741	1	309.488459832944
chr1:3826975-3827525_-	1.13260582552938	8.10516347005884	0.389630485563989	1	275.35776265003
chr1:3835425-3836275_-	0.660893543079122	8.07059704075444	0.7930362591996	1	268.838703423459
chr1:3860325-3861775_+	0.944090004195558	8.14035745238853	0.511699948384888	1	282.157610381688
chr1:3864575-3864825_+	0.838637007639164	8.0811833450583	0.545420220206682	1	270.818661518915
chr1:3897625-3898475_-	0.253204211776312	8.0524901582143	1	1	265.485665768753
chr1:6008375-6008675_+	0	8.04428214261995	1	1	263.979510075993
chr1:6051775-6052425_+	0.0922512094164081	8.31015727804954	0.9654096242072	1	317.39977121735
chr1:6053775-6056275_+	-0.460214237136775	8.64378296314586	0.576042013522681	1	399.979697782708
chr1:6057825-6058175_+	-1.57301040347357	8.11056671127404	0.0625317786756356	1	276.390977558333
chr1:6059175-6059525_+	2.35446988581404	8.24686518216734	0.0282458619258866	1	303.776231409925
chr1:6123475-6123625_-	0.613857240227178	8.07229000530409	0.7930362591996	1	269.154363719051
chr1:6188175-6189075_-	-1.30085152728531	8.09414671610197	0.104659263215419	1	273.26307484656
chr1:6190375-6193775_-	-0.188054813277898	10.3890084742045	0.759558599518029	1	1340.9209496111
chr1:6222125-6223425_-	-0.886941725387879	8.41898734606153	0.333344699553438	1	342.269124753758
chr1:6522025-6523525_-	0.391738728630589	8.25428652765786	0.849390585039555	1	305.342908179241
chr1:6524725-6525325_-	1.35257910098208	8.12500000360168	0.219360397079958	1	279.169980259253
chr1:6540025-6541325_-	1.44087060597821	8.27158880835016	0.180841008327064	1	309.026941142069
chr1:6542325-6543975_-	0.550781132711014	8.16486520088329	0.790750222448735	1	286.991699472927
chr1:6547625-6549325_-	0.462582851911675	8.2000880399055	0.7827554111906	1	294.084724737969
chr1:6577275-6577425_+	0.878454654062859	8.08943345649	0.545420220206682	1	272.371785838317
chr1:6581525-6581625_+	-0.720687301366848	8.11455023909384	0.671797187181585	1	277.155194913397
chr1:6627425-6627575_+	0	8.04428214261995	1	1	263.979510075993
chr1:6630575-6632225_+	0.613572778941024	8.16599815512851	0.668157906739683	1	287.217163731603
chr1:6646925-6647825_-	0.441287062864478	8.13654634049393	0.94048930256581	1	281.41322912993
chr1:6648975-6649875_-	1.35048567212418	8.19197915511154	0.231002975315613	1	292.436413873051
chr1:6659575-6660475_-	-0.764534943470379	8.09548359750391	0.432541145804569	1	273.516412958629
chr1:6800125-6800375_+	0.704571201767588	8.07386788965466	0.7930362591996	1	269.448900524479
chr1:6803775-6803975_+	0.564436036741212	8.06783798551726	0.7930362591996	1	268.32505916785
chr1:6838725-6840175_+	0.120730697082296	8.1196963157242	1	1	278.145569585843
chr1:6844325-6844725_+	0.8831968055018	8.13146320823215	0.634678363792113	1	280.423454044162
chr1:6846975-6848475_+	0.846642629564967	8.22214780733856	0.591475950165084	1	298.616030979966
chr1:6851575-6852025_+	0	8.04428214261995	1	1	263.979510075993
chr1:6882925-6883225_+	-0.450193607321135	8.0566900605863	0.784313725490196	1	266.259660555182
chr1:7849375-7849525_-	0	8.04428214261995	1	1	263.979510075993
chr1:7867075-7867175_-	0	8.04428214261995	1	1	263.979510075993
chr1:7883875-7884075_-	0	8.04428214261995	1	1	263.979510075993
chr1:7886775-7887025_-	0.764584466223431	8.07855646742215	0.545420220206682	1	270.326000084427
chr1:7908825-7910825_-	0.45518294171299	8.96317623257682	0.584479347132856	1	499.096934535704
chr1:7967775-7968775_+	-0.441376312970065	8.05624318643408	0.784313725490196	1	266.177199514627
chr1:7969875-7970225_+	0.459523558891571	8.06064677249662	1	1	266.990902248924
