log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	1.0076688371327	8.13743645762862	0.266807476669119	0.696389636135856	281.586909651544
chr1:727175-727325_-	0	7.99798463005275	1	1	255.642630983922
chr1:730825-730925_-	0.235167070902709	8.00693021962234	1	1	257.232695878027
chr1:737675-737775_-	0	7.99798463005275	1	1	255.642630983922
chr1:740825-740925_-	0	7.99798463005275	1	1	255.642630983922
chr1:779725-780725_+	1.83911579722124	8.1402824111429	0.0668342288424355	0.361286359934342	282.142934440278
chr1:780675-780775_-	0.418759508333585	8.0139075416447	1	1	258.479766396962
chr1:1104025-1104325_-	0.699031064138681	8.02395716940182	0.625197225432104	1	260.286588883635
chr1:1112775-1114275_-	0.55332980129107	8.53662593040719	0.560776417065224	1	371.347467788342
chr1:1264525-1267225_-	1.61227240017213	8.80998417020521	0.029153424911601	0.242020791643116	448.817204694938
chr1:1280375-1280475_+	1.92156473776229	8.15396058790199	0.0528792831756082	0.321640821640444	284.830649650195
chr1:1316125-1318625_-	-0.234624435286783	8.42993598291814	0.768048817417544	1	344.876492043903
chr1:1395975-1397875_-	-0.451607891184124	8.28835864303362	0.452749740409658	0.904704012560832	312.640017518466
chr1:1402675-1405375_-	1.25541361619112	8.50531338422565	0.141806372972693	0.515908295521437	363.374503330572
chr1:1407725-1409425_+	0.294956648913198	8.39792872957044	0.892149810301284	1	337.309403845121
chr1:1482975-1484575_+	0.225777789201155	8.36082304793271	0.944779352848426	1	328.744522854702
chr1:1555725-1558175_-	1.42833070447091	8.27038958756078	0.189399269702618	0.589362943643381	308.770173398464
chr1:1559575-1561425_-	0.527975896015582	8.55064952034627	0.582909718391749	1	374.974718732425
chr1:1563275-1563775_-	2.01576102116797	8.16375672965238	0.0415373376948445	0.286657361837868	286.771278765354
chr1:1569575-1569825_-	0.34088807470305	8.01400636938932	1	1	258.497473428996
chr1:1571325-1573675_-	0.261496200427216	8.55646284396766	0.838868905893006	1	376.488723475121
chr1:1613375-1613525_-	0.521001818735227	8.06869211467217	0.758574115452758	1	268.483964623076
chr1:1653375-1654075_-	2.73000096655706	8.28892381970385	0.00392900905774588	0.0882344604392973	312.762518431094
chr1:1660275-1660375_-	0.29680097059954	8.05939807959201	0.949471044800817	1	266.75991413406
chr1:1663475-1664175_-	0.37778370666127	8.22577573173331	0.820220563074423	1	299.367901365288
chr1:1666875-1668175_-	1.87273005263712	8.13941565794051	0.0662982814719325	0.361286359934342	281.973477390136
chr1:1670475-1670575_-	0	7.99798463005275	1	1	255.642630983922
chr1:1680825-1681975_-	1.90138675194102	8.37487100711576	0.0261065515674725	0.230804694843333	331.961243659023
chr1:1685925-1686275_-	1.23704545420044	8.13990704401328	0.217424724372293	0.654997455202119	282.069534723829
chr1:1706375-1706525_-	0.291262820941466	8.00672780443561	1	1	257.196607758073
chr1:1716975-1717075_-	0.555859975035237	8.02742316179582	0.904443772683224	1	260.912664293614
chr1:1719825-1719925_-	0.377584196476275	8.01015579257382	1	1	257.808459320743
chr1:1729375-1730075_-	-0.102352018836302	8.20833567601128	1	1	295.770770677586
chr1:1730975-1731675_-	0.0752491695039812	8.03649064984793	1	1	262.557691634266
chr1:1732875-1734575_-	2.78316553038617	8.29870961222283	0.00384297448035004	0.0875813469420325	314.891196114545
chr1:1736075-1736625_-	1.9541570500324	8.14443072491732	0.0528590599016114	0.321640821640444	282.955373456486
chr1:1765625-1768475_-	1.5921158310706	8.30590861168825	0.126319122967192	0.502309330358723	316.466419421222
chr1:1771975-1773225_-	2.75762019652332	8.29773959935303	0.00382836157988383	0.0875813469420325	314.679546499597
chr1:1773475-1774925_-	0.0940461233332916	8.49643059613052	1	1	361.144051198572
chr1:1784325-1784725_-	1.63728881388006	8.09896112494116	0.108797552152217	0.453949709449931	274.176502639753
chr1:1791175-1791425_-	1.92965705667204	8.14973670096	0.0523218626557546	0.321640821640444	283.997949077302
chr1:1792425-1792725_-	0.2678928364084	8.01201425591177	1	1	258.140779244338
chr1:1794225-1795775_-	1.71031157285477	8.43150055855932	0.0631304185201019	0.361286359934342	345.250706991797
chr1:1797425-1799175_-	-0.0866952467956605	8.27154715262287	0.914183181214083	1	309.018018566068
chr1:1801025-1801375_-	0.917520547648268	8.04472425996155	0.443728222463786	0.89606574653132	264.060419624282
chr1:1802625-1804125_-	-1.36715845674008	8.20426379299131	0.0820525268722812	0.401256290213114	294.937159994878
chr1:1805175-1805475_-	1.14118150590118	8.06370291460709	0.324437002453514	0.761713989516445	267.557083580513
chr1:1806925-1806975_-	0	7.99798463005275	1	1	255.642630983922
chr1:1807175-1808875_-	1.43209670414607	8.84176595646803	0.0683367574560949	0.364445478388979	458.814112281761
chr1:1809375-1809475_-	0	7.99798463005275	1	1	255.642630983922
chr1:1810025-1812125_-	1.60606160271424	8.5690362908021	0.0479895428939058	0.317247346368207	379.784256365686
chr1:1813175-1813375_-	0.338360594504781	8.01344380838769	1	1	258.39669520168
chr1:1819275-1820225_-	2.18761727725904	8.56040649123166	0.013004353967367	0.162808506622272	377.519273813097
chr1:1821825-1823225_-	3.50865988091138	9.14529058734893	1.50895175168217e-05	0.00501930965237153	566.248136601765
chr1:1829775-1832075_-	2.72415128581174	8.73964202747292	0.00064896030688576	0.0355838157696287	427.458937206836
chr1:1835925-1839125_-	1.36178955236788	8.90153436383904	0.0585817931137395	0.341617313895321	478.221228691287
chr1:1839725-1841475_-	2.9640793478255	8.35740478457462	0.00155699168893572	0.0561156283817137	327.966530895869
chr1:1843225-1843325_-	0.42856270670616	8.00663067013772	1	1	257.179291713999
chr1:1845425-1846875_-	2.5550972936503	8.26139350960031	0.00792301586649108	0.125928256961746	306.850794693611
chr1:1849575-1852725_-	0.58984334393885	9.26710213315171	0.412423107806052	0.89606574653132	616.13476598496
chr1:1854625-1856775_-	0.825771836002658	8.34401326840213	0.432981892518998	0.89606574653132	324.936335232352
chr1:1859075-1859925_-	2.54783585534806	8.25934602314449	0.00798007136274003	0.125928256961746	306.41561801819
chr1:1860875-1862775_-	1.30082727998261	8.7357179925199	0.0864704833769647	0.403639591211657	426.297856957257
chr1:1864975-1867225_-	1.83631651684158	8.35279741830164	0.0656926948286572	0.361286359934342	326.920813259053
chr1:1868225-1868675_-	1.15801231166351	8.0471617040581	0.318578002795547	0.761713989516445	264.506928768624
chr1:1869875-1872275_-	1.83359220163333	8.46124842587116	0.0399839302316047	0.286657361837868	352.443558044734
chr1:1875175-1875575_-	1.28459489799251	8.24088455615533	0.286986921919363	0.739695731128809	302.519547560876
chr1:1879525-1880425_-	3.89948194043032	8.65249690113447	1.83550205152917e-05	0.00544037815721387	402.40290253756
chr1:1884425-1884525_-	1.99806578140398	8.16509659174723	0.0420891976374813	0.286657361837868	287.037733167609
chr1:1885725-1886375_-	1.30055241099619	8.06247940017701	0.237496734056322	0.662842428025632	267.330271142958
chr1:2162125-2162325_+	0.262074193395436	8.0044868392917	1	1	256.797409586316
chr1:2243975-2244575_+	2.56654417322389	8.70530077829271	0.00227075339511061	0.0674452402721793	417.404047028503
chr1:2262925-2265925_+	2.1150968002421	8.74022932279796	0.00710669534626347	0.120361642339808	427.632983511269
chr1:2285325-2286425_+	1.11378848196128	8.13027248228464	0.265855121432639	0.695345253438467	280.192102499678
chr1:2370675-2371925_-	0.54725993930474	8.24215394337822	0.740048328855922	1	302.785843228937
chr1:3513825-3514025_-	-1.40253317100191	8.04555446834198	0.0899796169455015	0.415351293786573	264.212418665302
chr1:3627075-3627275_+	1.06165052039291	8.05387614858158	0.320568280176631	0.761713989516445	265.740839156466
chr1:3785875-3786525_-	0.0570863169135951	8.40047751803212	0.986904134115555	1	337.905850201509
chr1:3812675-3813875_-	1.1574662833543	8.28959992641096	0.26961966637223	0.701703740849319	312.909126264245
chr1:3826975-3827525_-	-0.322203994458257	8.05090258750758	0.814286185730805	1	265.193680672741
