log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	0.985578069543394	9.63528610353102	0.219095308330574	1	795.261822212103
chr1:727175-727325_-	0.271004426310418	8.86655113155841	1	1	466.764532818173
chr1:730825-730925_-	0	8.85679905087885	1	1	463.620018419217
chr1:737675-737775_-	0	8.85679905087885	1	1	463.620018419217
chr1:740825-740925_-	0	8.85679905087885	1	1	463.620018419217
chr1:779725-780725_+	-0.026699173506375	8.9714982351936	1	1	501.984231138153
chr1:780675-780775_-	0	8.85679905087885	1	1	463.620018419217
chr1:1104025-1104325_-	-0.162930295430746	8.88751046091267	1	1	473.5951383357
chr1:1112775-1114275_-	-1.19301638390874	9.34605984434159	0.133362926403216	1	650.795219959898
chr1:1264525-1267225_-	-0.262392379637204	9.339435468987	0.795170468144889	1	647.813834961414
chr1:1280375-1280475_+	-0.512325027738532	8.87237875626398	0.807692307692308	1	468.65379541106
chr1:1316125-1318625_-	0.524910880967086	9.36161195398215	0.585910460075348	1	657.848677451241
chr1:1395975-1397875_-	-1.46893084930239	9.20022535218831	0.0881454582633	1	588.22543270942
chr1:1402675-1405375_-	0.5165639813558	9.38771645009628	0.580783407833935	1	669.860304085364
chr1:1407725-1409425_+	0.396628240915622	9.1163207401168	0.769041879881608	1	554.991066983744
chr1:1482975-1484575_+	-1.13386629452986	9.24283308427469	0.156856731811345	1	605.856823165745
chr1:1555725-1558175_-	-0.333326085695857	9.1735736802719	0.718974782322292	1	577.458588811657
chr1:1559575-1561425_-	0.206457693721187	9.33272991481958	0.854381568517033	1	644.809824371593
chr1:1563275-1563775_-	1.89088061352702	8.9914263240177	0.0730864466730525	1	508.966299795476
chr1:1569575-1569825_-	-1.89183489435679	8.94850424300087	0.0298051324776178	1	494.046916951751
chr1:1571325-1573675_-	-0.101775613425497	9.01890555741425	1	1	518.753572806027
chr1:1613375-1613525_-	1.2510346978803	8.93083415438743	0.274940129586802	1	488.032749953658
chr1:1653375-1654075_-	0.764304305038214	8.89233130162518	0.525081190929714	1	475.180328209694
chr1:1660275-1660375_-	0.605703675478636	8.8805147436152	0.768800667737296	1	471.304205206309
chr1:1663475-1664175_-	1.37028239833517	9.55597975639592	0.0896615504841828	1	752.725354067649
chr1:1666875-1668175_-	-0.337672639622181	9.03748259933494	0.743569377775532	1	525.476559424277
chr1:1670475-1670575_-	0.235974659197465	8.8646038678284	1	1	466.134946871986
chr1:1680825-1681975_-	-0.290254609418465	8.94208199192801	0.92057422949531	1	491.852522745447
chr1:1685925-1686275_-	0	8.85679905087885	1	1	463.620018419217
chr1:1706375-1706525_-	0.211222906808138	8.8985550533666	1	1	477.23467273845
chr1:1716975-1717075_-	0	8.85679905087885	1	1	463.620018419217
chr1:1719825-1719925_-	0	8.85679905087885	1	1	463.620018419217
chr1:1729375-1730075_-	0.420761024186491	9.22008285585795	0.662339684256046	1	596.37784604591
chr1:1730975-1731675_-	0.929865290934423	9.10073224634139	0.372076578576932	1	549.026603028602
chr1:1732875-1734575_-	1.086347678907	9.06204123747649	0.348947806384803	1	534.49818452556
chr1:1736075-1736625_-	-1.42271532956168	9.10033818228619	0.0978673197394588	1	548.876659971653
chr1:1765625-1768475_-	0.73025121224902	9.16130959766757	0.450419629786756	1	572.570526285828
chr1:1771975-1773225_-	0.0570534909257149	9.09396704154904	1	1	546.458089067471
chr1:1773475-1774925_-	0.984666742643172	9.01644709394655	0.36936131133367	1	517.87032953399
chr1:1784325-1784725_-	-1.98226726696014	8.95684631113026	0.0290096976006374	1	496.911910170092
chr1:1791175-1791425_-	0.235974659197465	8.8646038678284	1	1	466.134946871986
chr1:1792425-1792725_-	-0.248225128762155	8.96839114861955	0.855416751201218	1	500.90428695138
chr1:1794225-1795775_-	0.664199490113852	9.09738782263992	0.626741359281467	1	547.755335794395
chr1:1797425-1799175_-	-0.533292947572626	9.2347372833861	0.533342165277011	1	602.46652953993
