log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	-0.984473045000186	11.0142926855548	0.172203499256423	1	2068.39023786235
chr1:727175-727325_-	-0.0262719318755309	8.69197565141057	1	1	413.566538250191
chr1:730825-730925_-	0.32738201270221	8.47924580593822	1	1	356.867770945757
chr1:737675-737775_-	-0.375208888037348	8.47599543242054	0.8	1	356.064657453548
chr1:740825-740925_-	-0.411051951161687	8.59712873933659	0.791772309194178	1	387.251962311109
chr1:779725-780725_+	0.328265369241284	8.70127382381104	0.803991416030762	1	416.240583266126
chr1:780675-780775_-	0	8.46723800480551	1	1	353.909825394685
chr1:1104025-1104325_-	1.01829233079575	8.51776679565963	0.513676721173867	1	366.524746091456
chr1:1112775-1114275_-	-0.403149514246622	8.90175309187483	0.640449031516689	1	478.293737653148
chr1:1264525-1267225_-	0.726821999291382	9.16281520575876	0.423047868219031	1	573.168377376426
chr1:1280375-1280475_+	0.115916748289302	8.48869089786833	1	1	359.211791319405
chr1:1316125-1318625_-	-0.385909314483016	8.70788306803025	0.799006815467978	1	418.151830423568
chr1:1395975-1397875_-	0.230493522390666	8.68762935147238	0.900985082594227	1	412.322491994921
chr1:1402675-1405375_-	0.870711780086042	8.77842436423472	0.394567279832834	1	439.105673322971
chr1:1407725-1409425_+	-1.11424181925174	8.54586824541447	0.273827879620131	1	373.734061786385
chr1:1482975-1484575_+	1.12153257226967	8.59964440631745	0.300178388130695	1	387.927813276242
chr1:1555725-1558175_-	-0.363909143786527	8.98982540324268	0.712789107376599	1	508.401826515967
chr1:1559575-1561425_-	0.0138809045067594	8.97985424193276	1	1	504.900131157933
chr1:1563275-1563775_-	-0.576991434193737	8.62725178656896	0.622714335252087	1	395.422673322774
chr1:1569575-1569825_-	-1.31935181369684	8.57627350547071	0.116302871452625	1	381.694213577514
chr1:1571325-1573675_-	-0.662801845006552	8.88753440991624	0.459077068514911	1	473.603000167536
chr1:1613375-1613525_-	0	8.46723800480551	1	1	353.909825394685
chr1:1653375-1654075_-	-2.03937305767512	8.63556743236179	0.0245354126479025	1	397.708457603271
chr1:1660275-1660375_-	0.371786829973181	8.48296145296472	1	1	357.788065009563
chr1:1663475-1664175_-	-0.0500999472667747	9.09902817155528	1	1	548.378489574948
chr1:1666875-1668175_-	-0.306399134388387	8.69523240845484	0.696864874178533	1	414.501182843173
chr1:1670475-1670575_-	0.286745947108918	8.49316292720122	0.766280363040417	1	360.326994424793
chr1:1680825-1681975_-	0.5639854891441	8.58599531814557	0.753346663772212	1	384.275001906964
chr1:1685925-1686275_-	-0.924523363506319	8.50173680601591	0.366280363040417	1	362.474779090905
chr1:1706375-1706525_-	0	8.46723800480551	1	1	353.909825394685
chr1:1716975-1717075_-	-0.631976031202639	8.50519713615663	0.728615139554821	1	363.345224875085
chr1:1719825-1719925_-	0	8.46723800480551	1	1	353.909825394685
chr1:1729375-1730075_-	-0.20112549153986	8.78588422050819	0.909256708925404	1	441.382071732832
chr1:1730975-1731675_-	-1.3101511512457	8.5569519576688	0.177382822240219	1	376.616385251555
chr1:1732875-1734575_-	-0.628460078976454	8.68755081400216	0.485149235315076	1	412.300046583306
chr1:1736075-1736625_-	0.183924422109763	8.61280917393568	1	1	391.483901922813
chr1:1765625-1768475_-	-0.735031570458655	9.59320779659613	0.332727091355709	1	772.401843089127
chr1:1771975-1773225_-	0.168599947172087	8.94030402272901	0.849872554589319	1	491.24673983996
chr1:1773475-1774925_-	0.193078088974893	8.96003455031214	0.799233621010428	1	498.01125953075
chr1:1784325-1784725_-	0.32738201270221	8.47924580593822	1	1	356.867770945757
chr1:1791175-1791425_-	-0.375208888037348	8.47599543242054	0.8	1	356.064657453548
chr1:1792425-1792725_-	-0.96209444156862	8.53466937568864	0.439306378898019	1	370.844194977344
chr1:1794225-1795775_-	-0.966386018795317	9.00429021112193	0.222454594962901	1	513.52482494318
chr1:1797425-1799175_-	-0.607474447127439	8.96296965400051	0.450550836418808	1	499.025474282496
chr1:1801025-1801375_-	0.441034399580158	8.55496201507643	0.599342128847396	1	376.097267670266
chr1:1802625-1804125_-	-0.155935959710147	8.72560508709621	0.989149283988566	1	423.320072207702
chr1:1805175-1805475_-	-0.96316405472611	8.49908167332525	0.366280363040417	1	361.808294813385
chr1:1806925-1806975_-	-0.0913555022790236	8.49369686020504	1	1	360.460374019735
chr1:1807175-1808875_-	-1.30922923096007	8.96459571528031	0.110319672279777	1	499.588242879126
