log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	0.967026039477588	9.24254875392845	0.307310536486058	1	605.737430985519
chr1:727175-727325_-	0.00296953207215468	8.85002743730932	1	1	461.449012653808
chr1:730825-730925_-	0	8.80766554068566	1	1	448.096466767455
chr1:737675-737775_-	0	8.80766554068566	1	1	448.096466767455
chr1:740825-740925_-	-0.944830864473579	8.83976843726771	0.366086206070587	1	458.179289404473
chr1:779725-780725_+	1.40710563627338	8.96765044478716	0.182617006610475	1	500.647180295849
chr1:780675-780775_-	0	8.80766554068566	1	1	448.096466767455
chr1:1104025-1104325_-	1.01978507241518	8.86372952987558	0.40032376443033	1	465.852533757005
chr1:1112775-1114275_-	-1.50719938055478	9.37326330749168	0.039873772501391	1	663.183042466541
chr1:1264525-1267225_-	-0.427459999794335	9.21642865199926	0.666153572768068	1	594.869191385647
chr1:1280375-1280475_+	0	8.80766554068566	1	1	448.096466767455
chr1:1316125-1318625_-	0.635332005541251	9.25578037530193	0.505343763720565	1	611.318482316214
chr1:1395975-1397875_-	0.0139943107532838	9.1671014466003	1	1	574.873790325097
chr1:1402675-1405375_-	1.24428767158429	9.40404433913401	0.137278150560933	1	677.484598416887
chr1:1407725-1409425_+	-0.36685622087813	9.07912921585945	0.822476196879236	1	540.866681064292
chr1:1482975-1484575_+	0.242729649103509	9.13511444360406	0.903162850673024	1	562.268121517968
chr1:1555725-1558175_-	0.499362677615086	9.40762418595274	0.622870352943807	1	679.167769507758
chr1:1559575-1561425_-	0.369036561958839	9.23929578936559	0.743738071794344	1	604.373163035547
chr1:1563275-1563775_-	2.01043928902931	8.96104148618224	0.0622367491840625	1	498.358970188595
chr1:1569575-1569825_-	0.239591099593402	8.81598686688412	1	1	450.688512225996
chr1:1571325-1573675_-	0.332166178716441	9.21858931047246	0.800922469075802	1	595.760767274821
chr1:1613375-1613525_-	0	8.80766554068566	1	1	448.096466767455
chr1:1653375-1654075_-	0.448775666827965	8.82489879735607	1	1	453.481157719962
chr1:1660275-1660375_-	0	8.80766554068566	1	1	448.096466767455
chr1:1663475-1664175_-	1.03682898661989	9.47353730796251	0.146072203360663	1	710.916992140726
chr1:1666875-1668175_-	-0.343400635086542	8.96500726443509	0.898720139550383	1	499.73077781682
chr1:1670475-1670575_-	0	8.80766554068566	1	1	448.096466767455
chr1:1680825-1681975_-	0.0431876445840417	9.00434270663467	1	1	513.54351097085
chr1:1685925-1686275_-	0.348684240901936	8.82356894346907	1	1	453.063338429533
chr1:1706375-1706525_-	0	8.80766554068566	1	1	448.096466767455
chr1:1716975-1717075_-	0	8.80766554068566	1	1	448.096466767455
chr1:1719825-1719925_-	0	8.80766554068566	1	1	448.096466767455
chr1:1729375-1730075_-	0.217151128670791	9.05865930597203	0.902748889179323	1	533.246693986182
chr1:1730975-1731675_-	0.90292851211951	8.84969817985498	0.553063851893844	1	461.343710988127
chr1:1732875-1734575_-	0.593816666413749	9.10623354891293	0.595603747876482	1	551.124154724409
chr1:1736075-1736625_-	1.69526502303404	8.92064614721859	0.129966890918782	1	484.59850614288
chr1:1765625-1768475_-	0.186646417990302	9.03877022784676	0.996324084697565	1	525.945765054962
chr1:1771975-1773225_-	1.66273298934824	8.92170149631212	0.130066250136249	1	484.953125574235
chr1:1773475-1774925_-	-0.989674985798674	8.92921572134475	0.346926474423479	1	487.485575782474
chr1:1784325-1784725_-	0	8.80766554068566	1	1	448.096466767455
chr1:1791175-1791425_-	0.239591099593402	8.81598686688412	1	1	450.688512225996
chr1:1792425-1792725_-	-0.574975561279502	8.82543746663259	0.784313725490197	1	453.650508809067
chr1:1794225-1795775_-	0.141169055911448	9.06737634874241	0.960100845350569	1	536.478427305186
chr1:1797425-1799175_-	1.54239980668828	9.28424379226529	0.0557956398947104	1	623.499153985751
chr1:1801025-1801375_-	0.473512597891006	8.87350472035267	0.80106627278851	1	469.019703174937
chr1:1802625-1804125_-	0.315120682101829	9.12035653107176	0.853860035852263	1	556.545770945467
chr1:1805175-1805475_-	1.76991112108327	8.9364450479371	0.101377337278465	1	489.93449044936
chr1:1806925-1806975_-	-0.0471460931000332	8.832417094508	1	1	455.850546362432
chr1:1807175-1808875_-	-0.0547862957803771	9.16714803361705	1	1	574.892354253413
chr1:1809375-1809475_-	0.249361466685129	8.9117261954982	0.939139828725265	1	481.611554848198
chr1:1810025-1812125_-	-0.257603351973432	9.00219423115212	0.958192350038314	1	512.779306152868
chr1:1813175-1813375_-	-0.136616039811431	8.84211793412424	1	1	458.926063881183
chr1:1819275-1820225_-	-0.129410119935208	8.87753809734535	1	1	470.332787419504
chr1:1821825-1823225_-	-0.743393342286063	9.0850212892385	0.370119201485884	1	543.080137524529
chr1:1829775-1832075_-	1.72760809429007	8.92752287163248	0.102549678418032	1	486.913898597127
chr1:1835925-1839125_-	-0.254187347093765	9.03197555086007	0.765969361243665	1	523.474536351403
chr1:1839725-1841475_-	0.428285808693918	8.91734965992924	0.789907562435978	1	483.492486446038
chr1:1843225-1843325_-	0.800205363625601	8.84764478386627	0.553103080450942	1	460.687544955411
chr1:1845425-1846875_-	0.209382538974592	9.05172603081997	0.903720887743551	1	530.690175576219
chr1:1849575-1852725_-	-1.17700476287044	9.70288310905785	0.0735977419968154	1	833.41029368517
chr1:1854625-1856775_-	-0.350588016687125	9.1686840755434	0.708353081389169	1	575.504769905248
chr1:1859075-1859925_-	-0.526035553339775	8.85902037367636	0.713829895631301	1	464.334405677667
chr1:1860875-1862775_-	1.25780199580389	9.24608437132733	0.136686732541288	1	607.22373416523
chr1:1864975-1867225_-	-1.08371588096444	9.09562526626241	0.199822523816462	1	547.086545701592
chr1:1868225-1868675_-	1.27713126540906	8.88711906209681	0.293799679137832	1	473.466670829444
chr1:1869875-1872275_-	1.30710010738387	9.26390850875653	0.170849600081998	1	614.772366680048
chr1:1875175-1875575_-	0.748738396574462	8.84310409286471	0.553103080450942	1	459.239871477882
chr1:1879525-1880425_-	0.109232502847391	8.85781943131788	1	1	463.948040709836
chr1:1884425-1884525_-	0	8.80766554068566	1	1	448.096466767455
chr1:1885725-1886375_-	0.358625920416031	8.9065220038887	0.9405450983542	1	479.877381275037
chr1:2162125-2162325_+	0.611989558973033	8.83269445105345	0.797458755090194	1	455.938191556523
chr1:2243975-2244575_+	-0.0147078181006657	8.86780125889204	1	1	467.169169953358
chr1:2262925-2265925_+	0.555169461371489	9.02355606127305	0.59267347600659	1	520.428464502769
chr1:2285325-2286425_+	0.797327363818255	8.84379469393698	0.553103080450942	1	459.459756803014
chr1:2370675-2371925_-	-0.909226438105604	8.93803095797078	0.343648396766063	1	490.473356405363
chr1:3513825-3514025_-	-0.603622445785497	8.8424898505073	0.713829895631301	1	459.044386963422
chr1:3627075-3627275_+	0.577892490098611	8.83429741584656	0.797458755090194	1	456.445061699169
chr1:3785875-3786525_-	0.0704570279403573	8.93848855621876	1	1	490.628950858939
chr1:3812675-3813875_-	0.317336568090942	9.00605338412273	0.938343527935395	1	514.152807010527
chr1:3826975-3827525_-	0.121972044468825	8.88759834517813	1	1	473.623989081998
chr1:3835425-3836275_-	-0.0341991460122891	8.84970668195455	1	1	461.346429789825
chr1:3860325-3861775_+	1.08674825681137	8.86740658440025	0.397526697939308	1	467.041385125898
chr1:3864575-3864825_+	0	8.80766554068566	1	1	448.096466767455
chr1:3897625-3898475_-	0	8.80766554068566	1	1	448.096466767455
chr1:6008375-6008675_+	0	8.80766554068566	1	1	448.096466767455
chr1:6051775-6052425_+	-1.59594585391044	8.9203983238576	0.0794742181685985	1	484.515269898991
chr1:6053775-6056275_+	0.116640955453701	9.2225591416083	1	1	597.402366169359
chr1:6057825-6058175_+	0	8.80766554068566	1	1	448.096466767455
chr1:6059175-6059525_+	-0.54355180292593	8.85334044248599	0.713829895631301	1	462.509901904482
chr1:6123475-6123625_-	-0.49848583278137	8.83634509587775	1	1	457.093374074828
chr1:6188175-6189075_-	0.815859371111236	8.90483305549197	0.511732364666558	1	479.315922421468
chr1:6190375-6193775_-	0.154673829776012	11.0694494441716	0.816695552377344	1	2148.99951848623
chr1:6222125-6223425_-	1.57942152104782	9.26281191147337	0.064328949808073	1	614.30525371569
chr1:6522025-6523525_-	-0.114916830202938	9.13330793181756	0.911298055054505	1	561.564502056569
chr1:6524725-6525325_-	0.483481268630821	8.88673657257605	0.639312365580784	1	473.341161258276
chr1:6540025-6541325_-	-0.159945770967196	9.11651400114295	0.870206821977807	1	555.065417643066
chr1:6542325-6543975_-	-0.0460783634986274	8.93133941908213	0.966701913308131	1	488.20370008271
chr1:6547625-6549325_-	1.04972869576925	8.92930828489839	0.334899813155069	1	487.516853941448
chr1:6577275-6577425_+	0.299205766049039	8.81967833198533	1	1	451.843178432873
chr1:6581525-6581625_+	0	8.80766554068566	1	1	448.096466767455
chr1:6627425-6627575_+	0.2885971022938	8.81894999102674	1	1	451.615124113178
chr1:6630575-6632225_+	-0.932861608708787	8.95161604516382	0.362131325539918	1	495.113695048069
chr1:6646925-6647825_-	1.15946630298161	8.94068175071694	0.330105513680364	1	491.375375435791
chr1:6648975-6649875_-	0.577892490098611	8.83429741584656	0.797458755090194	1	456.445061699169
chr1:6659575-6660475_-	-0.566472737640429	8.82491685179571	0.784313725490197	1	453.486832792787
chr1:6800125-6800375_+	-1.36937642436976	8.90457514045391	0.119617170921475	1	479.230241295995
chr1:6803775-6803975_+	0	8.80766554068566	1	1	448.096466767455
chr1:6838725-6840175_+	1.3570604803969	8.88977362022391	0.221992265529524	1	474.338651233979
