log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	0.229554075904952	9.33080247968226	0.929299173948914	1	643.948936076237
chr1:727175-727325_-	-0.769517612543074	9.07793525865366	0.44126259508797	1	540.41925142035
chr1:730825-730925_-	0	9.02841842781422	1	1	522.185442253804
chr1:737675-737775_-	-0.813916463861468	9.05372702785501	0.367562069560443	1	531.426745817895
chr1:740825-740925_-	0.263189548913559	9.03794675816484	1	1	525.645648398741
chr1:779725-780725_+	-0.515344092811405	9.12332120869644	0.647725727143576	1	557.690625005264
chr1:780675-780775_-	0	9.02841842781422	1	1	522.185442253804
chr1:1104025-1104325_-	0	9.02841842781422	1	1	522.185442253804
chr1:1112775-1114275_-	-1.28420151009938	9.39275278129984	0.116370947616194	1	672.202818381574
chr1:1264525-1267225_-	-0.15839392592722	9.3306227990183	0.8705177550939	1	643.868740356316
chr1:1280375-1280475_+	0.267948799447797	9.03822763249247	1	1	525.747994866054
chr1:1316125-1318625_-	1.44321012974595	9.47324547589724	0.0684598540882298	1	710.773200565951
chr1:1395975-1397875_-	1.02380468983709	9.25684812394795	0.320739240523114	1	611.771090850618
chr1:1402675-1405375_-	-0.0765446486474915	9.72832882868078	0.892463265020782	1	848.240071712396
chr1:1407725-1409425_+	-0.835826674784925	9.21240724713597	0.468190285729753	1	593.213346710306
chr1:1482975-1484575_+	1.24656066772394	9.2743427315041	0.239069591943427	1	619.234796062925
chr1:1555725-1558175_-	-0.197454395511592	9.27949112610021	0.952870083011166	1	621.4485420153
chr1:1559575-1561425_-	2.09337293764925	9.46962629413577	0.0168123565662302	1	708.992371345964
chr1:1563275-1563775_-	1.75832671676697	9.14964311932176	0.10433119349824	1	567.959055813532
chr1:1569575-1569825_-	0.406205585409961	9.11992393000977	0.943153374225316	1	556.378912259946
chr1:1571325-1573675_-	-0.352980533368396	9.1271148031346	0.81525750285979	1	559.159012992195
chr1:1613375-1613525_-	0	9.02841842781422	1	1	522.185442253804
chr1:1653375-1654075_-	0	9.02841842781422	1	1	522.185442253804
chr1:1660275-1660375_-	-0.469484149519114	9.04123378089848	0.784313725490196	1	526.844639838288
chr1:1663475-1664175_-	-0.452354986632357	9.46124779213289	0.570687177607024	1	704.886806451026
chr1:1666875-1668175_-	-0.916299586277593	9.16128384141255	0.34491845684803	1	572.560304346728
chr1:1670475-1670575_-	0	9.02841842781422	1	1	522.185442253804
chr1:1680825-1681975_-	-2.49014499132624	9.28726746853758	0.00444797994747238	1	624.807286708417
chr1:1685925-1686275_-	0	9.02841842781422	1	1	522.185442253804
chr1:1706375-1706525_-	0.578839316745102	9.05469964818501	0.798934618580051	1	531.785138071594
chr1:1716975-1717075_-	-0.511518028432293	9.04340949847493	0.784313725490196	1	527.639769704294
chr1:1719825-1719925_-	-0.482454293262036	9.0418785077882	0.784313725490196	1	527.080134385336
chr1:1729375-1730075_-	0.522042643328406	9.30954703937011	0.666705825156775	1	634.531088390561
chr1:1730975-1731675_-	0.572059418004517	9.19647245953957	0.674189847933913	1	586.697266274919
