log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	0.513394490493434	9.5312786638184	0.595421483327396	1	739.947274479873
chr1:727175-727325_-	-0.443269204086791	8.9706040105522	0.784313725490196	1	501.673183017417
chr1:730825-730925_-	0	8.95897854310939	1	1	497.646864397475
chr1:737675-737775_-	0	8.95897854310939	1	1	497.646864397475
chr1:740825-740925_-	0.237647813033055	8.96710567266301	1	1	500.458167973376
chr1:779725-780725_+	-1.16913900281244	9.07034559001003	0.23545449360181	1	537.583701941204
chr1:780675-780775_-	0	8.95897854310939	1	1	497.646864397475
chr1:1104025-1104325_-	0.204098828025101	9.04979218668456	1	1	529.979294527518
chr1:1112775-1114275_-	-1.46029924690091	9.42458636142148	0.0560540317993593	1	687.200064385812
chr1:1264525-1267225_-	-0.0990352748840434	9.49551232795396	0.864116546310758	1	721.82851591092
chr1:1280375-1280475_+	0	8.95897854310939	1	1	497.646864397475
chr1:1316125-1318625_-	0.74301228280902	9.18401340415177	0.529255712833906	1	581.652387707101
chr1:1395975-1397875_-	-1.27273680194738	9.24009658739493	0.132217978336068	1	604.708726110842
chr1:1402675-1405375_-	0.374120352861106	9.52484060496168	0.747146877954037	1	736.652599980344
chr1:1407725-1409425_+	0.297367187635738	9.15507580304737	0.940990528957604	1	570.101822417254
chr1:1482975-1484575_+	0.448945336861232	9.37140435538425	0.651805447763795	1	662.329063243086
chr1:1555725-1558175_-	-1.18289947128626	9.30948644288303	0.151704038026897	1	634.504437195182
chr1:1559575-1561425_-	0.037398284831736	9.46157088198586	1	1	705.044682697463
chr1:1563275-1563775_-	-0.28806513579971	9.04147648591363	0.88187986249816	1	526.933278524145
chr1:1569575-1569825_-	-0.755224146930038	9.01136249995506	0.445619252117513	1	516.048374360184
chr1:1571325-1573675_-	0.203802249720739	9.16773905863499	1	1	575.12791711415
chr1:1613375-1613525_-	0	8.95897854310939	1	1	497.646864397475
chr1:1653375-1654075_-	-2.63706017894712	9.1305426081452	0.00265586908560015	1	560.48913946828
chr1:1660275-1660375_-	0.687386176790814	8.98927854340813	0.801937090998765	1	508.209151110347
chr1:1663475-1664175_-	0.0342548951913116	9.53406639395098	1	1	741.378462288316
chr1:1666875-1668175_-	0.466710300949592	9.06114197152436	0.943539178562342	1	534.165122974652
chr1:1670475-1670575_-	-1.17384224673725	9.00246197899829	0.197894986510672	1	512.874481010983
chr1:1680825-1681975_-	1.50534495006889	9.27735868248394	0.115243254218488	1	620.530659142692
chr1:1685925-1686275_-	0.314848351306938	9.01465559554377	1	1	517.227651736768
chr1:1706375-1706525_-	1.17812841454631	9.02609263662319	0.307228152304977	1	521.344297146539
chr1:1716975-1717075_-	0.304501755178486	8.97109343803548	1	1	501.843402148307
chr1:1719825-1719925_-	-0.297787460411781	8.9833354415047	1	1	506.119917999533
chr1:1729375-1730075_-	0.66608837426854	9.19902092553897	0.609580023580025	1	587.73456061514
chr1:1730975-1731675_-	-0.528808441864683	8.97492544015078	0.784313725490196	1	503.1781410592
chr1:1732875-1734575_-	-0.577932134392066	9.22693258576317	0.532723402995753	1	599.216103617771
chr1:1736075-1736625_-	0.429353149268724	8.97488294799363	1	1	503.163321011188
chr1:1765625-1768475_-	1.94760674159782	9.31447609831699	0.0282274899900731	1	636.702711659145
chr1:1771975-1773225_-	2.40596866485521	9.17692961015609	0.0211344276297738	1	578.803409558458
chr1:1773475-1774925_-	-0.167919494875476	9.15133789372656	0.957010726620854	1	568.626645317557
chr1:1784325-1784725_-	0	8.95897854310939	1	1	497.646864397475
chr1:1791175-1791425_-	0	8.95897854310939	1	1	497.646864397475
chr1:1792425-1792725_-	0.152703698405236	8.99494294122479	1	1	510.208435359306
chr1:1794225-1795775_-	-0.0766484213824891	9.18691222400446	1	1	582.822281918589
chr1:1797425-1799175_-	0.199933731768449	9.39470541636961	0.845175463268266	1	673.113236326078
chr1:1801025-1801375_-	0.63915247850736	8.99028812105236	0.801937090998765	1	508.564913171474
chr1:1802625-1804125_-	0.140075192154646	9.10623930379884	1	1	551.126353153644
chr1:1805175-1805475_-	0	8.95897854310939	1	1	497.646864397475
chr1:1806925-1806975_-	-0.65825027836527	8.99717871118014	0.715903652916127	1	510.999727353351
chr1:1807175-1808875_-	0.788538920374707	9.38103282124295	0.377124176061979	1	666.76419374021
chr1:1809375-1809475_-	0.785579122031288	8.997167118179	0.560857462956211	1	510.995621151798
chr1:1810025-1812125_-	0.740743728260688	9.05185763329626	0.645321975712757	1	530.738587281236
chr1:1813175-1813375_-	0.656428322243135	8.98716391617723	0.801937090998765	1	507.464790268744
chr1:1819275-1820225_-	0	8.95897854310939	1	1	497.646864397475
chr1:1821825-1823225_-	1.6818350797735	9.15085389076479	0.126564214343845	1	568.435911439493
chr1:1829775-1832075_-	-1.12406184891584	9.12885289030824	0.281928117944888	1	559.833065889497
chr1:1835925-1839125_-	1.05572577990544	9.17000121893257	0.381984206737905	1	576.030430848389
chr1:1839725-1841475_-	1.19628147963833	9.1401044161306	0.293710946433954	1	564.216253423654
chr1:1843225-1843325_-	0	8.95897854310939	1	1	497.646864397475
chr1:1845425-1846875_-	-1.07893153435196	9.04993905561097	0.333707901810475	1	530.033250110601
chr1:1849575-1852725_-	-0.777502174755449	9.81292262059295	0.239852480203493	1	899.464555115004
chr1:1854625-1856775_-	0.00645103469656702	9.15797826722745	1	1	571.249927650934
chr1:1859075-1859925_-	-0.339155815385123	9.13445903071906	0.847175382434549	1	562.012742476988
chr1:1860875-1862775_-	-0.20162096079771	9.45736551910838	0.7824704901099	1	702.992515398601
chr1:1864975-1867225_-	1.54971767526136	9.24904717962061	0.155604012285829	1	608.472047972873
chr1:1868225-1868675_-	-0.513737548394769	8.9740911736618	0.784313725490196	1	502.887252618993
chr1:1869875-1872275_-	1.32255309518543	9.42605881100676	0.10152996750307	1	687.901795496736
chr1:1875175-1875575_-	0.482141471174491	9.02521210362251	0.807417174640358	1	521.026197491049
chr1:1879525-1880425_-	-0.00341533252293315	9.03053328186939	1	1	522.951477900749
chr1:1884425-1884525_-	-0.42785072576152	8.9699242846384	0.784313725490196	1	501.436875319289
chr1:1885725-1886375_-	-0.226979445876176	9.17224644876202	0.90569321282134	1	576.927590381598
chr1:2162125-2162325_+	0	8.95897854310939	1	1	497.646864397475
chr1:2243975-2244575_+	0.639350865796789	8.99030612457253	0.801937090998765	1	508.57125963801
chr1:2262925-2265925_+	1.49351812858474	9.19838000570654	0.146533648191769	1	587.473516482419
chr1:2285325-2286425_+	-0.257807629708554	8.98630651154804	1	1	507.163289687401
chr1:2370675-2371925_-	-0.506684378275543	9.13338016935789	0.590497380402882	1	561.592620995659
chr1:3513825-3514025_-	0.304501755178486	8.97109343803548	1	1	501.843402148307
chr1:3627075-3627275_+	0	8.95897854310939	1	1	497.646864397475
chr1:3785875-3786525_-	0.0161784813361281	9.10952016048957	1	1	552.381104907877
chr1:3812675-3813875_-	-0.351767393510971	9.150135345938	0.698514988390126	1	568.15286826411
chr1:3826975-3827525_-	-1.35299960853982	9.05562628885824	0.12748511927814	1	532.126812515713
chr1:3835425-3836275_-	0.531342420532327	8.98221899927912	0.801937090998765	1	505.72840416454
chr1:3860325-3861775_+	0.0108388654200572	8.99857432109595	1	1	511.494288794289
chr1:3864575-3864825_+	0	8.95897854310939	1	1	497.646864397475
chr1:3897625-3898475_-	-0.235450598591376	9.0484176718719	0.881900128518512	1	529.474601947796
chr1:6008375-6008675_+	0.64212689949679	8.99055886810731	0.801937090998765	1	508.660363262866
chr1:6051775-6052425_+	0.155614301641991	9.39911334197057	0.996481007582836	1	675.172971926123
chr1:6053775-6056275_+	-0.867724558714932	9.53090757505447	0.21238766833474	1	739.756970361328
chr1:6057825-6058175_+	1.278495222479	9.03719041467662	0.304216265728767	1	525.370147023831
chr1:6059175-6059525_+	0	8.95897854310939	1	1	497.646864397475
chr1:6123475-6123625_-	0.540321244009427	8.9829490528731	0.801937090998765	1	505.98438499247
