log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	-0.112079708025782	9.82853724977548	0.886800246438754	1	909.252545760969
chr1:727175-727325_-	0	8.82576435069276	1	1	453.753308026566
chr1:730825-730925_-	0	8.82576435069276	1	1	453.753308026566
chr1:737675-737775_-	0.337310521653091	8.84009675749606	1	1	458.283571073779
chr1:740825-740925_-	0.939524742722761	8.87357925940383	0.557640326828516	1	469.043936422997
chr1:779725-780725_+	-1.21694769750477	8.89053605337613	0.284208995537756	1	474.589395211165
chr1:780675-780775_-	0	8.82576435069276	1	1	453.753308026566
chr1:1104025-1104325_-	0.7586593133396	8.86188736049146	0.557640326828516	1	465.258068827259
chr1:1112775-1114275_-	-1.59251335765042	9.31163952715693	0.0302428922033707	1	635.452081299967
chr1:1264525-1267225_-	0.157802137804289	9.11897284093144	1	1	556.012243279129
chr1:1280375-1280475_+	-0.968272340373346	8.86109036544109	0.368704796612789	1	465.001115027176
chr1:1316125-1318625_-	1.45982850540722	9.56822453379366	0.0543433869756559	1	759.141248747924
chr1:1395975-1397875_-	0.905589586511578	9.03602452059343	0.439394706290287	1	524.945747900654
chr1:1402675-1405375_-	0.735390195622723	9.51791431184414	0.341374492974008	1	733.124450638981
chr1:1407725-1409425_+	-0.421148558675262	8.99143890250623	0.730996311971417	1	508.970737361621
chr1:1482975-1484575_+	1.01496309183462	8.9838536549904	0.41303218378013	1	506.301748025991
chr1:1555725-1558175_-	-1.64158069838141	9.24538349413403	0.0360572039119931	1	606.928809809632
chr1:1559575-1561425_-	-0.00509576234484633	9.35334377866626	1	1	654.089288561318
chr1:1563275-1563775_-	0.193861013526011	9.04532778123061	0.999456552034125	1	528.341813762817
chr1:1569575-1569825_-	0	8.82576435069276	1	1	453.753308026566
chr1:1571325-1573675_-	-1.17278963573224	9.04771609278753	0.178353142559315	1	529.217182334864
chr1:1613375-1613525_-	0	8.82576435069276	1	1	453.753308026566
chr1:1653375-1654075_-	-0.522040595612759	8.84147783407631	0.784313725490196	1	458.722491103242
chr1:1660275-1660375_-	-0.514818329136524	8.84107062547489	0.784313725490196	1	458.593032430989
chr1:1663475-1664175_-	-0.561200089459393	9.09642532716933	0.534313141666978	1	547.390022135696
chr1:1666875-1668175_-	0.875542362000573	8.98070278231339	0.48308450887398	1	505.197182270544
chr1:1670475-1670575_-	0	8.82576435069276	1	1	453.753308026566
chr1:1680825-1681975_-	0.0495514386526023	8.94539560832245	1	1	492.983519709115
chr1:1685925-1686275_-	0	8.82576435069276	1	1	453.753308026566
chr1:1706375-1706525_-	0	8.82576435069276	1	1	453.753308026566
chr1:1716975-1717075_-	0.227755653450223	8.8332484115026	1	1	456.113294551395
chr1:1719825-1719925_-	0	8.82576435069276	1	1	453.753308026566
chr1:1729375-1730075_-	-1.038340474819	8.95130895516659	0.357784482299238	1	495.008317072753
chr1:1730975-1731675_-	0.284096059990268	8.88560129863381	1	1	472.968829965647
chr1:1732875-1734575_-	0.490914052996126	8.98337410974576	0.785567753455021	1	506.133483603293
chr1:1736075-1736625_-	0.0764131556815801	8.89672464579017	1	1	476.629569077795
chr1:1765625-1768475_-	0.217494505033151	9.33885572567141	0.900664653654224	1	647.553564925155
chr1:1771975-1773225_-	0.204671615531731	9.12591919430865	0.933078916868511	1	558.695811490867
chr1:1773475-1774925_-	0.758099434563344	8.91401385350616	0.644553200793537	1	482.375844240105
chr1:1784325-1784725_-	0	8.82576435069276	1	1	453.753308026566
chr1:1791175-1791425_-	0	8.82576435069276	1	1	453.753308026566
chr1:1792425-1792725_-	0.89700320769522	8.87019716295757	0.557640326828516	1	467.945648979761
chr1:1794225-1795775_-	0.586135690222492	9.12343032672651	0.606956357972666	1	557.732807449972
chr1:1797425-1799175_-	-0.117341939510157	9.25241296904957	0.943456681814562	1	609.893262819903
chr1:1801025-1801375_-	0	8.82576435069276	1	1	453.753308026566
chr1:1802625-1804125_-	-1.02491974337322	9.14047050883159	0.215470583714824	1	564.359444920038
chr1:1805175-1805475_-	-0.500164318765393	8.86667536583596	0.715048616759841	1	466.804728874653
chr1:1806925-1806975_-	0.416641553876976	8.84068940666252	1	1	458.47186947526
chr1:1807175-1808875_-	0.666560102093167	9.23737715232754	0.511939535504948	1	603.569942682243
chr1:1809375-1809475_-	1.03431695784231	8.8818731274937	0.40591045003449	1	471.748175352244
chr1:1810025-1812125_-	-0.115710440519363	8.94404334944097	0.964071949865787	1	492.521655631551
chr1:1813175-1813375_-	0.84836205423335	8.86513294173869	0.557640326828516	1	466.30592206672
chr1:1819275-1820225_-	1.4945314939465	8.92602206696456	0.178849914702987	1	486.407635898076
chr1:1821825-1823225_-	-0.294580119744835	9.12639839504515	0.687505379730389	1	558.881416837392
chr1:1829775-1832075_-	0.732969873344688	8.94203186776642	0.678375024670608	1	491.835434402895
chr1:1835925-1839125_-	1.12534394595248	9.18497173363669	0.20864738136937	1	582.038886442712
chr1:1839725-1841475_-	2.33551703900626	9.02748842227555	0.0278027458448164	1	521.848933951186
chr1:1843225-1843325_-	0	8.82576435069276	1	1	453.753308026566
chr1:1845425-1846875_-	0.501833455542496	9.04986773802819	0.760226003327641	1	530.007049316375
chr1:1849575-1852725_-	-0.0248933034861349	9.65836344964217	0.948166121887432	1	808.085115503414
chr1:1854625-1856775_-	0.360328915656215	9.30120344845327	0.780688491731332	1	630.871972721652
chr1:1859075-1859925_-	-0.661273192943995	8.9870234239155	0.483701936189381	1	507.415374832485
chr1:1860875-1862775_-	0.13942812240784	9.31902867675419	0.952000442297258	1	638.715068568202
chr1:1864975-1867225_-	1.27422983590022	9.20360195547004	0.183036100869511	1	589.603776727283
chr1:1868225-1868675_-	1.09520592969678	8.88881375065986	0.40591045003449	1	474.023164044097
chr1:1869875-1872275_-	0.600784983234393	9.29455162077524	0.43744053920457	1	627.969909498682
chr1:1875175-1875575_-	0.528733259070385	8.84783140880496	0.800077345632397	1	460.747142682917
chr1:1879525-1880425_-	0.691825782267339	9.08301093339587	0.606001183963071	1	542.323897318478
chr1:1884425-1884525_-	0	8.82576435069276	1	1	453.753308026566
chr1:1885725-1886375_-	-0.583145882508175	9.11855692282581	0.523909278589489	1	555.851972244042
chr1:2162125-2162325_+	0	8.82576435069276	1	1	453.753308026566
chr1:2243975-2244575_+	0.0779977283254296	8.8677191404985	1	1	467.142579378867
chr1:2262925-2265925_+	-0.843831429157875	9.02549724068394	0.382240510103571	1	521.129184301748
chr1:2285325-2286425_+	-0.522040595612759	8.84147783407631	0.784313725490196	1	458.722491103242
chr1:2370675-2371925_-	-1.02242362041293	9.05448893337293	0.241657204541006	1	531.707473132374
chr1:3513825-3514025_-	0.361784031870029	8.84210844595096	1	1	458.923045671808
chr1:3627075-3627275_+	0	8.82576435069276	1	1	453.753308026566
chr1:3785875-3786525_-	-0.996953234457324	9.05090937112883	0.301733526300983	1	530.389855258147
chr1:3812675-3813875_-	-1.52266422190202	8.88729435237154	0.0686984684042843	1	473.52420145278
chr1:3826975-3827525_-	-0.356543010413689	8.8704895846461	0.715048616759841	1	468.040507090277
chr1:3835425-3836275_-	0.105120405504052	8.90494433461319	1	1	479.352894830899
chr1:3860325-3861775_+	0.702534795465521	9.04990354692249	0.533641395766345	1	530.020204696695
chr1:3864575-3864825_+	0	8.82576435069276	1	1	453.753308026566
chr1:3897625-3898475_-	-0.0559857401707718	8.85913393704263	1	1	464.37095772238
chr1:6008375-6008675_+	0	8.82576435069276	1	1	453.753308026566
chr1:6051775-6052425_+	0.755387114917796	8.96432362857818	0.572643992287049	1	499.494031353944
chr1:6053775-6056275_+	-0.702382258667782	9.28641206771106	0.356515369883906	1	624.436936606852
chr1:6057825-6058175_+	0.113796657063805	8.93913117193646	1	1	490.847539053487
chr1:6059175-6059525_+	0.595931042408708	8.8999483718718	0.804124045519511	1	477.695796591019
chr1:6123475-6123625_-	0.361784031870029	8.84210844595096	1	1	458.923045671808
chr1:6188175-6189075_-	0.605731535860592	8.96459449184127	0.572606848488062	1	499.587819216826
chr1:6190375-6193775_-	-0.99814115976508	11.1385228728679	0.0644755827000967	1	2254.39229850136
chr1:6222125-6223425_-	-0.699157822932474	9.20671491556351	0.422743157115408	1	590.877361630843
chr1:6522025-6523525_-	0.768666742805012	9.05452585533525	0.530806752351594	1	531.721080952425
chr1:6524725-6525325_-	1.41580461069583	8.90964023156305	0.231697947401561	1	480.915705502008
chr1:6540025-6541325_-	0.51381413985362	9.02678811313011	0.682137518309699	1	521.595680917281
chr1:6542325-6543975_-	0.20860649934312	8.91963607310945	1	1	484.259342923674
chr1:6547625-6549325_-	-0.375951163609821	8.93849188468164	0.815966746088047	1	490.630082797492
chr1:6577275-6577425_+	0	8.82576435069276	1	1	453.753308026566
chr1:6581525-6581625_+	-0.112234386244153	8.86386713112183	1	1	465.896967919767
chr1:6627425-6627575_+	0	8.82576435069276	1	1	453.753308026566
chr1:6630575-6632225_+	0.629908506211122	9.03371882632782	0.680867846102227	1	524.107457279245
chr1:6646925-6647825_-	0.639137129892667	8.90960849163221	0.64445168179931	1	480.905125259551
chr1:6648975-6649875_-	-0.0909924211722054	8.95349760293046	0.964477659936061	1	495.759841836536
chr1:6659575-6660475_-	-0.105998193850754	8.85658218909431	1	1	463.550333624082
chr1:6800125-6800375_+	0	8.82576435069276	1	1	453.753308026566
chr1:6803775-6803975_+	0	8.82576435069276	1	1	453.753308026566
chr1:6838725-6840175_+	-0.499404908567421	8.89707682879586	0.676769651537211	1	476.745935544576
chr1:6844325-6844725_+	-0.177507807483433	8.85525267125095	1	1	463.123344874407
chr1:6846975-6848475_+	-1.3120985776591	8.97382073540858	0.201196214917472	1	502.79299347186
chr1:6851575-6852025_+	-0.516750710049903	8.84117878357991	0.784313725490196	1	458.627414203481
chr1:6882925-6883225_+	0.055026927410592	8.84892555560072	1	1	461.096708051391
chr1:7849375-7849525_-	0.354540937484714	8.84149063547088	1	1	458.726561480897
chr1:7867075-7867175_-	0.33819363736437	8.8401657069516	1	1	458.305473940915
chr1:7883875-7884075_-	1.24722938856501	8.90001117957658	0.302193322719709	1	477.716593522328
chr1:7886775-7887025_-	0.329573307340831	8.83950369992096	1	1	458.09522032714
chr1:7908825-7910825_-	0.203456759945321	9.76509639178282	0.813221588919666	1	870.135574146523
chr1:7967775-7968775_+	-0.791511528255368	8.86663981404218	0.715048616759841	1	466.793225722217
chr1:7969875-7970225_+	-0.519896959347608	8.87301832715818	0.715048616759841	1	468.861603553193
chr1:7974375-7975025_+	0	8.82576435069276	1	1	453.753308026566
chr1:7998875-7999125_+	-0.361614626466384	8.83409518085596	0.784313725490196	1	456.381082347632
chr1:8399875-8402175_-	-0.280131492017336	9.20579788733471	0.847557514724632	1	590.501898326707
chr1:8403825-8404575_-	0.432345237772422	9.01975006139101	0.770895431650398	1	519.05732217026
chr1:8405675-8406375_-	1.54141201192181	9.02939538977744	0.105918971039423	1	522.539174728409
chr1:8412375-8414575_-	-0.461519704337053	9.5805412918134	0.479079248648916	1	765.650029398955
chr1:8436175-8436325_-	0	8.82576435069276	1	1	453.753308026566
chr1:8438025-8438325_-	0.938436887172175	8.87819591934349	0.557640326828516	1	470.547292767511
chr1:8470325-8471025_-	0.60400077328911	8.88089906500362	1	1	471.429773264389
chr1:8531225-8531425_-	0.134630547403916	8.87279914605914	1	1	468.790377276865
chr1:8542525-8542825_-	0.907765421350835	8.87496178292772	0.557640326828516	1	469.493633043478
chr1:8545725-8546875_-	0.339066277203333	8.84023409592609	1	1	458.327199796604
chr1:8592325-8592725_-	0	8.82576435069276	1	1	453.753308026566
chr1:8605125-8606125_-	0.377618263556314	9.04530932880495	0.845469108326149	1	528.335056183832
chr1:8607075-8608475_-	-2.0410419318378	9.01930815572549	0.0325637864769342	1	518.898356318746
chr1:8634775-8635025_-	0	8.82576435069276	1	1	453.753308026566
chr1:8636025-8636525_-	1.06761435401744	8.88566455233455	0.40591045003449	1	472.989567324434
chr1:8651575-8652025_-	0.639351194772	8.85690143860852	0.800077345632397	1	463.652922591091
chr1:8710525-8711225_-	0.227755653450223	8.8332484115026	1	1	456.113294551395
chr1:8720075-8720275_-	0	8.82576435069276	1	1	453.753308026566
chr1:8721325-8721625_-	-0.489926874599926	8.83972776515765	0.784313725490196	1	458.166372706709
chr1:8728875-8729425_-	-0.328644669932079	8.85091997565118	1	1	461.734581226679
chr1:8736275-8736475_-	0	8.82576435069276	1	1	453.753308026566
chr1:8743425-8743575_-	0	8.82576435069276	1	1	453.753308026566
chr1:8745775-8746125_-	-0.0910655850227408	8.93447083804814	1	1	489.264513773439
chr1:8769525-8770125_-	0.287229300282182	8.83658043900658	1	1	457.167944622563
chr1:8776325-8777025_-	0.652864144076595	8.88573434226374	0.80555627146945	1	473.012448602813
chr1:8777675-8779675_-	-1.51543340994137	8.89160275338533	0.113068118475593	1	474.940426924439
chr1:8785625-8785925_-	-0.480652535097092	8.83925053475011	0.784313725490196	1	458.014840498799
chr1:8787525-8788675_-	-0.620307561499537	8.86100332521016	0.715048616759841	1	464.973061570009
chr1:8790625-8790875_-	0	8.82576435069276	1	1	453.753308026566
chr1:8793825-8795475_-	0.466993870737311	8.89664423748683	0.804574406488963	1	476.603004969726
chr1:8797975-8798075_-	0	8.82576435069276	1	1	453.753308026566
chr1:8799525-8801525_-	1.04323471897948	8.94212019848784	0.423091817478859	1	491.865548534781
chr1:8803175-8803825_-	0.364500168934203	8.84234522134532	1	1	458.998370393469
chr1:8805075-8807325_-	0.751078577816837	9.03588861091623	0.603694148351963	1	524.896297500759
chr1:8813675-8813925_-	0.293558621028938	8.87996017576633	1	1	471.123072033113
chr1:8857575-8857975_-	0.351888333464219	8.84126921678318	1	1	458.656163485157
chr1:8876625-8877725_-	-1.32139322546472	9.09507595862636	0.166000634707049	1	546.878281581696
chr1:8910075-8910225_-	0.641687895172499	8.85703672874793	0.800077345632397	1	463.696404136412
chr1:8914875-8915125_-	0	8.82576435069276	1	1	453.753308026566
chr1:8920775-8920925_-	0	8.82576435069276	1	1	453.753308026566
chr1:8959425-8959775_-	-0.556400323382301	8.84353034177314	0.784313725490196	1	459.375575426936
chr1:8963575-8965875_-	0.217807014093598	9.02455654284604	0.941076173076336	1	520.78949691523
chr1:8968075-8968225_-	0	8.82576435069276	1	1	453.753308026566
chr1:9043875-9044025_-	0	8.82576435069276	1	1	453.753308026566
chr1:9235675-9236725_+	-0.204854720618488	8.92088222860993	1	1	484.67781191949
chr1:9254025-9254375_+	0	8.82576435069276	1	1	453.753308026566
chr1:9265675-9265775_+	0.473278001524607	8.84426455905504	1	1	459.609420637543
chr1:9266775-9268325_+	0.451982427937238	9.62559921931954	0.55677384294884	1	789.939973822711
chr1:9270925-9271275_+	-1.73728498858677	8.90481803401398	0.0437820907247708	1	479.310931764473
chr1:9299325-9299625_+	0	8.82576435069276	1	1	453.753308026566
chr1:9547325-9548475_+	0.434055186717103	8.99851483266756	0.873660681753153	1	511.473198152692
chr1:9550675-9551375_+	0.0329723832884775	8.864981917742	1	1	466.257110851501
chr1:9556925-9557925_+	1.70005006179487	9.01909758597192	0.109864994378207	1	518.82262560475
chr1:9559975-9561075_+	0.693792468071167	8.85603957104207	0.800077345632397	1	463.37601855693
chr1:9562525-9563975_+	0.839603596914211	8.91207014444686	0.644896365679745	1	481.726388219685
chr1:9568575-9568725_+	0	8.82576435069276	1	1	453.753308026566
chr1:9615925-9616375_+	0	8.82576435069276	1	1	453.753308026566
chr1:9631325-9631725_+	-0.604352184851533	8.90663938525801	0.675846298883967	1	479.916426918156
chr1:9634975-9635275_+	-0.556400323382301	8.84353034177314	0.784313725490196	1	459.375575426936
chr1:9636175-9636325_+	0	8.82576435069276	1	1	453.753308026566
chr1:9636925-9637525_+	0	8.82576435069276	1	1	453.753308026566
chr1:9638575-9638725_+	0.227755653450223	8.8332484115026	1	1	456.113294551395
chr1:9638825-9640575_+	1.1014205344863	9.06799704321982	0.285503799946181	1	536.709287486528
chr1:9642125-9645325_+	-0.710965856401064	9.03148020322062	0.471618606726112	1	523.294832839472
chr1:9646675-9647775_+	-0.2836027482062	8.88803430304859	0.987170042789405	1	473.767131811648
chr1:9654775-9656875_+	0.874999134654334	9.16167015080999	0.397339394234626	1	572.713638929485
chr1:9658075-9658675_+	1.97619724855381	8.97035680776022	0.07119399633493	1	501.587229726015
chr1:9659725-9662325_+	0.198124330143286	9.11149039964301	1	1	553.135988185823
chr1:9664875-9667625_+	1.27504782897482	9.1853851869887	0.18772650907608	1	582.205713393462
chr1:9669175-9671475_+	1.00791184187877	9.03115163048696	0.442721835925248	1	523.175666397015
chr1:9673275-9675175_+	0.0333922362464	9.17382967224149	1	1	577.56106221949
