log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	3.1351839650872	9.32591102312679	0.0014708172658209	1	641.769324719578
chr1:727175-727325_-	0.64494323439336	8.99858902989295	0.780639819240999	1	511.499503689884
chr1:730825-730925_-	-0.715025560430167	8.98845740506552	0.380639819240999	1	507.91997614916
chr1:737675-737775_-	0	8.96783311886178	1	1	500.710576265236
chr1:740825-740925_-	-0.0748907090940612	9.02245081297993	1	1	520.029917075397
chr1:779725-780725_+	1.28517549970154	9.08949359142851	0.327967461598277	1	544.766278349205
chr1:780675-780775_-	-0.408363765820175	8.97818483853831	0.8	1	504.316227775862
chr1:1104025-1104325_-	0.306965996173329	8.97960171158273	1	1	504.811760819909
chr1:1112775-1114275_-	-0.236675958283091	9.52218446164927	0.785559841365944	1	735.297597897749
chr1:1264525-1267225_-	-0.210025615021755	9.41684510355186	0.811551515922431	1	683.52254024185
chr1:1280375-1280475_+	-0.431800103514749	8.97922276688048	0.8	1	504.679182128032
chr1:1316125-1318625_-	0.0563330143283829	9.28826698203123	1	1	625.24030940366
chr1:1395975-1397875_-	-1.80773372253903	9.17760466011794	0.0485359015254302	1	579.074300241315
chr1:1402675-1405375_-	1.26168220343951	9.66177050567486	0.0997234341750302	1	809.995737434237
chr1:1407725-1409425_+	-1.63216799849813	9.07774058739388	0.0909722259925665	1	540.346334417158
chr1:1482975-1484575_+	0.443076366035198	9.14130812103739	0.838587164205947	1	564.687200681964
chr1:1555725-1558175_-	0.629383961229627	9.44098195691056	0.514960501201317	1	695.054336935619
chr1:1559575-1561425_-	-0.0759062291279266	9.2767720302667	0.909139247164133	1	620.278380128972
chr1:1563275-1563775_-	-3.00556845580412	9.19740097076589	0.000581878046913702	1	587.074983201321
chr1:1569575-1569825_-	0.80639327696223	9.04387077734958	0.622176838417631	1	527.808501131478
chr1:1571325-1573675_-	-0.761109159179985	9.35566985615738	0.33566474380042	1	655.144736542483
chr1:1613375-1613525_-	-0.427070779064567	8.97900774575854	0.8	1	504.603969699519
chr1:1653375-1654075_-	1.07683353035482	9.02445189112163	0.387256962798779	1	520.751720711205
chr1:1660275-1660375_-	0	8.96783311886178	1	1	500.710576265236
chr1:1663475-1664175_-	0.849469733683675	9.38122751816662	0.349439772366581	1	666.8541820563
chr1:1666875-1668175_-	-0.43661200686536	9.11445734549964	0.794740912535205	1	554.274699521334
chr1:1670475-1670575_-	-1.19662457119565	9.01416185945823	0.203488402286463	1	517.050670285172
chr1:1680825-1681975_-	-1.48915869780152	9.07410361071617	0.130641473398981	1	538.985858425127
chr1:1685925-1686275_-	-0.52750902533881	8.98425440399054	0.8	1	506.442407068076
chr1:1706375-1706525_-	-1.96196239559965	9.06646485573486	0.0296081932750977	1	536.139587924571
chr1:1716975-1717075_-	-0.034645280998312	9.02695576231275	1	1	521.656296756456
chr1:1719825-1719925_-	0	8.96783311886178	1	1	500.710576265236
chr1:1729375-1730075_-	-0.383885261559365	9.25298341123853	0.74323378472979	1	610.134462538988
chr1:1730975-1731675_-	0.820219461758001	9.10875968161978	0.541574978086224	1	552.090008418072
chr1:1732875-1734575_-	-0.625041811693652	9.41037081768195	0.434388031454724	1	680.462014330978
chr1:1736075-1736625_-	1.492419164607	9.21470448763108	0.131699153910552	1	594.158688056666
chr1:1765625-1768475_-	-0.0062190599196487	9.34444599064293	0.987428532819866	1	650.06762263976
chr1:1771975-1773225_-	-1.27534342119279	9.0455448681023	0.196869091023105	1	528.421321003127
chr1:1773475-1774925_-	0.0919124835992189	9.04250988131767	1	1	527.310853466623
chr1:1784325-1784725_-	0.646985823729656	8.99877349053768	0.780639819240999	1	511.564907366771
chr1:1791175-1791425_-	0.52870759562832	8.9893483900214	0.780639819240999	1	508.233756135188
chr1:1792425-1792725_-	0	8.96783311886178	1	1	500.710576265236
