log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	2.00502683935732	9.43110914620896	0.03090206752537	1	690.314101964113
chr1:727175-727325_-	2.56274120305193e-15	8.87213070343531	1	1	468.573223354615
chr1:730825-730925_-	2.56274120305193e-15	8.87213070343531	1	1	468.573223354615
chr1:737675-737775_-	-0.877111027463191	8.90208971669809	0.402243968864999	1	478.405351213571
chr1:740825-740925_-	1.2108099038693	8.9375094606597	0.313369764949218	1	490.296094887311
chr1:779725-780725_+	0.863044921392284	8.9139326437295	0.555786117059997	1	482.348691909958
chr1:780675-780775_-	-0.267321800225477	8.89791343979161	1	1	477.022478090738
chr1:1104025-1104325_-	2.56274120305193e-15	8.87213070343531	1	1	468.573223354615
chr1:1112775-1114275_-	-0.4602135902922	9.24779985334249	0.613610181943742	1	607.946202138847
chr1:1264525-1267225_-	0.12202342223203	9.07438423781911	1	1	539.090709933797
chr1:1280375-1280475_+	0.35083011209928	8.88754266371524	1	1	473.605709704228
chr1:1316125-1318625_-	0.72226810226511	9.26267365261184	0.528219020407777	1	614.246385366523
chr1:1395975-1397875_-	0.84425142488141	9.02007222790607	0.472327700364661	1	519.173245186851
chr1:1402675-1405375_-	0.449829152153345	9.55550143874279	0.598774257569655	1	752.475833457783
chr1:1407725-1409425_+	1.3359350481974	9.19851224535662	0.161473357976296	1	587.527367678014
chr1:1482975-1484575_+	0.936224705876781	9.07178883586021	0.432266258949199	1	538.121759975112
chr1:1555725-1558175_-	0.776169531685263	9.15063528527478	0.581856425654036	1	568.349785270501
chr1:1559575-1561425_-	0.843878787160839	9.31890292661613	0.366340332318977	1	638.65939844703
chr1:1563275-1563775_-	1.90902285705106	9.01008896272883	0.0906141900038588	1	515.59303431412
chr1:1569575-1569825_-	0.315892718595327	8.88507190077472	1	1	472.795305593288
chr1:1571325-1573675_-	0.057556663952162	8.98983676361506	1	1	508.405829896198
chr1:1613375-1613525_-	2.56274120305193e-15	8.87213070343531	1	1	468.573223354615
chr1:1653375-1654075_-	0.0015532036411154	8.94407362535867	1	1	492.531991635455
chr1:1660275-1660375_-	0.26053298479333	8.88171252790019	1	1	471.695663666617
chr1:1663475-1664175_-	0.0752718078228871	9.43263693933726	0.993926943060694	1	691.045521801245
chr1:1666875-1668175_-	1.55539135718733	9.04899096870817	0.157966632857528	1	529.685045891252
chr1:1670475-1670575_-	2.56274120305193e-15	8.87213070343531	1	1	468.573223354615
chr1:1680825-1681975_-	-0.633625675706432	9.08383548146815	0.525056220141646	1	542.633942007485
chr1:1685925-1686275_-	-0.524902837317973	8.88828137196957	0.807692307692308	1	473.848273809288
chr1:1706375-1706525_-	-0.276343515503256	8.89294736529232	1	1	475.383284371436
chr1:1716975-1717075_-	-0.148984587692311	8.93174375042815	1	1	488.340543779677
chr1:1719825-1719925_-	2.56274120305193e-15	8.87213070343531	1	1	468.573223354615
chr1:1729375-1730075_-	-0.8979163001211	9.11368614937464	0.359281974230407	1	553.978489816384
chr1:1730975-1731675_-	0.38762997123449	8.95484611095354	1	1	496.223452404166
chr1:1732875-1734575_-	-0.327610051265801	9.25850259973961	0.676719795580656	1	612.473069455561
chr1:1736075-1736625_-	-1.13412440584894	9.12488162652593	0.19019206541918	1	558.29414907646
chr1:1765625-1768475_-	1.76971547179042	9.21210675123001	0.0765228665261848	1	593.08980042105
chr1:1771975-1773225_-	-0.0072413343457532	8.97048187037755	1	1	501.630712602848
chr1:1773475-1774925_-	-0.564675373515989	8.94793766793065	0.719830051917906	1	493.852932982932
chr1:1784325-1784725_-	-0.505195245754083	8.88724250086587	0.807692307692308	1	473.507182955523
chr1:1791175-1791425_-	0.872087955751234	8.91395959664388	0.555786117059997	1	482.357703394764
chr1:1792425-1792725_-	2.56274120305193e-15	8.87213070343531	1	1	468.573223354615
chr1:1794225-1795775_-	1.85355088250818	9.15249755262595	0.0787950798739037	1	569.08389929347
chr1:1797425-1799175_-	-0.0206955884446673	9.13703180578078	1	1	563.01588060947
chr1:1801025-1801375_-	-0.966286215067521	8.92680053099736	0.487551696892245	1	486.67016749041
chr1:1802625-1804125_-	0.801417197851174	9.13440036836543	0.517170170990118	1	561.989890578953
chr1:1805175-1805475_-	2.56274120305193e-15	8.87213070343531	1	1	468.573223354615
