log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	3.65196534298017	9.89959105558478	3.5479524234205e-05	0.24322206241972	955.154997993417
chr1:727175-727325_-	0.566905922792598	9.21315387649224	0.802263035127622	1	593.520428328258
chr1:730825-730925_-	-0.490764248548947	9.20166028749884	0.784313725490196	1	588.810785345965
chr1:737675-737775_-	-0.222925390662967	9.20673400819313	1	1	590.885181355004
chr1:740825-740925_-	-0.0463989658454984	9.21819546310102	1	1	595.59815024146
chr1:779725-780725_+	-1.13508550852893	9.25536735096582	0.287528263474851	1	611.143495042791
chr1:780675-780775_-	0	9.18763738668591	1	1	583.115307952269
chr1:1104025-1104325_-	0.360731468504188	9.20393037042526	1	1	589.738009349984
chr1:1112775-1114275_-	-1.30664363011207	9.51052583790242	0.110086623620139	1	729.379498174345
chr1:1264525-1267225_-	0.357501262648996	9.75261394983015	0.746293006023994	1	862.63948917972
chr1:1280375-1280475_+	0	9.18763738668591	1	1	583.115307952269
chr1:1316125-1318625_-	-0.510917008402285	9.416327733262	0.553177576291446	1	683.277463601762
chr1:1395975-1397875_-	0.197028656911901	9.48087606448071	1	1	714.542525421131
chr1:1402675-1405375_-	1.59062508835216	9.59252875989724	0.0708361357554816	1	772.038380423099
chr1:1407725-1409425_+	-0.527631309491082	9.2939949124986	0.64851601724191	1	627.727634732583
chr1:1482975-1484575_+	0.372838452866287	9.23926126938188	1	1	604.358702112372
chr1:1555725-1558175_-	0.0306986331704485	9.52910198300449	1	1	738.831713273645
chr1:1559575-1561425_-	2.14069113559879	9.69002788641789	0.0190053151750075	1	826.017127697955
chr1:1563275-1563775_-	0.496158268792251	9.31440003064942	0.671637361481126	1	636.669141700123
chr1:1569575-1569825_-	0.332837736462046	9.29518844615756	0.799001572809437	1	628.247165219127
chr1:1571325-1573675_-	0.853944052481748	9.46442665003133	0.476693150394064	1	706.441677978871
chr1:1613375-1613525_-	0	9.18763738668591	1	1	583.115307952269
chr1:1653375-1654075_-	0	9.18763738668591	1	1	583.115307952269
chr1:1660275-1660375_-	0	9.18763738668591	1	1	583.115307952269
chr1:1663475-1664175_-	-0.324503809042099	9.62157890315283	0.71208922070109	1	787.741735457221
chr1:1666875-1668175_-	-0.897756056996379	9.31892908329113	0.349988465699615	1	638.670977718661
chr1:1670475-1670575_-	0	9.18763738668591	1	1	583.115307952269
chr1:1680825-1681975_-	-0.137466235426104	9.28047580562879	1	1	621.872842727776
chr1:1685925-1686275_-	0.24335282567331	9.1960161606932	1	1	586.511733680156
chr1:1706375-1706525_-	0.362278903305186	9.20406220653748	1	1	589.791903150612
chr1:1716975-1717075_-	-0.503848717550263	9.20234604964943	0.784313725490196	1	589.090733720635
chr1:1719825-1719925_-	0	9.18763738668591	1	1	583.115307952269
chr1:1729375-1730075_-	0.424324057190465	9.39775191923323	0.842929341787239	1	674.53613445258
chr1:1730975-1731675_-	-0.249755294220701	9.25836889604529	1	1	612.416310324056
chr1:1732875-1734575_-	-0.945349745293995	9.36625162739529	0.36908254718753	1	659.96770891952
chr1:1736075-1736625_-	1.61922865643035	9.29185927971027	0.141883412662634	1	626.799092023865
chr1:1765625-1768475_-	1.53371533456181	9.77910057117801	0.0647932792352796	1	878.623070390599
chr1:1771975-1773225_-	-1.41122382867878	9.24499603354847	0.115716254017267	1	606.765830517449
