log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	0.6847739478735	9.46136639060736	0.466544960337198	1	704.944754897371
chr1:727175-727325_-	0.98355550124853	8.87012886422067	0.387728881493165	1	467.923496453165
chr1:730825-730925_-	0.487384860574272	8.84398498554263	1	1	459.520363583192
chr1:737675-737775_-	0	8.82521048209606	1	1	453.579139914365
chr1:740825-740925_-	0.330723558397013	8.839085591779	1	1	457.962478767434
chr1:779725-780725_+	1.84531864232917	9.05124394545905	0.0897640220998421	1	530.512871837433
chr1:780675-780775_-	0	8.82521048209606	1	1	453.579139914365
chr1:1104025-1104325_-	-0.20322257629174	8.85858866254121	1	1	464.195479336226
chr1:1112775-1114275_-	-0.674542771433494	9.36729375714213	0.411079433677132	1	660.444608352554
chr1:1264525-1267225_-	0.56322506849523	9.38868049853392	0.546454986988632	1	670.308072721542
chr1:1280375-1280475_+	0	8.82521048209606	1	1	453.579139914365
chr1:1316125-1318625_-	0.900042861049889	9.14881979703961	0.351911954025357	1	567.635023409929
chr1:1395975-1397875_-	1.83592115528682	9.1212333443358	0.0836567412784447	1	556.884120367752
chr1:1402675-1405375_-	1.825456841891	9.3588420644307	0.043760969724027	1	656.586858412827
chr1:1407725-1409425_+	-0.615474806248862	9.00998190458685	0.589801993193316	1	515.554775095989
chr1:1482975-1484575_+	1.01854643846223	9.03435063338428	0.392658931792262	1	524.337032691135
chr1:1555725-1558175_-	0.485798915495857	9.16064352662	0.737017991761212	1	572.306239921821
chr1:1559575-1561425_-	1.06745373104214	9.55058948570047	0.216248020852631	1	749.9182305841
chr1:1563275-1563775_-	0.679331797008642	9.00034836997627	0.595489800002795	1	512.12364842162
chr1:1569575-1569825_-	-0.87824697000362	8.88241357417752	0.430250221405001	1	471.924929614155
chr1:1571325-1573675_-	1.43889022134196	9.13196486913997	0.147065313812027	1	561.041962402517
chr1:1613375-1613525_-	-0.547749816804962	8.84140492739037	0.784313725490195	1	458.699310118617
chr1:1653375-1654075_-	-1.03536700609555	9.02037538258252	0.298099935607833	1	519.282350943847
chr1:1660275-1660375_-	0	8.82521048209606	1	1	453.579139914365
chr1:1663475-1664175_-	2.4753988178864	9.27474399928148	0.012752611718367	1	619.407052515
chr1:1666875-1668175_-	-1.39019083278418	8.92239252511941	0.178241993233662	1	485.185466326178
chr1:1670475-1670575_-	0	8.82521048209606	1	1	453.579139914365
chr1:1680825-1681975_-	-0.590379115479724	8.94831477206982	0.626278154656121	1	493.98203741716
chr1:1685925-1686275_-	0	8.82521048209606	1	1	453.579139914365
chr1:1706375-1706525_-	0	8.82521048209606	1	1	453.579139914365
chr1:1716975-1717075_-	1.00746621078194	8.87255430397379	0.387730149408685	1	468.71082486201
chr1:1719825-1719925_-	0.138355052147455	8.82872755228526	1	1	454.686245518246
chr1:1729375-1730075_-	0.429194449443556	9.08063269886466	0.830004847605933	1	541.430630971185
chr1:1730975-1731675_-	1.86811179759125	8.95508917144164	0.0867409259544063	1	496.307061532833
