log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	-0.207748344890081	9.50226506777084	0.567326016178731	1	725.215056597646
chr1:727175-727325_-	-0.171098678321933	5.05509776592367	0.703030082039327	1	33.2457441660861
chr1:730825-730925_-	-0.430406929669334	3.58031619600958	0.570068042133103	1	11.9614152896585
chr1:737675-737775_-	-0.0801336853771159	3.39972753995633	1	1	10.5540699100252
chr1:740825-740925_-	0.277141081972824	5.32771282822717	0.452734856845204	0.986709861181517	40.1607088437189
chr1:779725-780725_+	0.327739471651424	4.87482794303681	0.553962712616171	1	29.3406299869099
chr1:780675-780775_-	-0.76671910816947	2.38456212259639	0.709547226398867	1	5.22185400469014
chr1:1104025-1104325_-	-0.547087312770157	2.42544676582337	0.474807521864248	0.986709861181517	5.37195331036587
chr1:1112775-1114275_-	0.458215375774418	3.23112478019253	0.772599326387412	1	9.38999754177017
chr1:1264525-1267225_-	-0.0984208900791755	5.63398626414435	0.799469550305016	1	49.6591018685399
chr1:1280375-1280475_+	-0.356659439788678	2.77984247985147	0.732261458101667	1	6.86777359512965
chr1:1316125-1318625_-	-0.248555623073111	5.62331865316402	0.537430158583326	1	49.2932655269726
chr1:1395975-1397875_-	-0.165853259341778	5.24366672135253	0.793157328958702	1	37.8879380319525
chr1:1402675-1405375_-	0.588054472084606	5.3961055783497	0.234091597147775	0.855271237371929	42.1104263854078
chr1:1407725-1409425_+	0.684188276889846	4.18180840072698	0.36082580158752	0.935200772363699	18.1488773101172
chr1:1482975-1484575_+	0.164882746718533	3.72080772674699	1	1	13.1848360507535
chr1:1555725-1558175_-	-0.160861981024058	6.85660903513495	0.715153378682177	1	115.889739892063
chr1:1559575-1561425_-	-0.0214011225568932	6.8199078774041	1	1	112.978769090068
chr1:1563275-1563775_-	-0.209369602947322	5.38054833593182	0.646187096559816	1	41.6587699268738
chr1:1569575-1569825_-	-0.465164546213054	4.42377020643459	0.500053124499145	0.989408107657639	21.4628567056712
chr1:1571325-1573675_-	0.13804013788434	6.48526132163429	0.731111873635627	1	89.5897217048457
chr1:1613375-1613525_-	-1.61088676811398	2.30848344461261	0.558063895311641	1	4.95362083503068
chr1:1653375-1654075_-	-0.47571935188803	4.37640381438449	0.4244527561062	0.974816440005361	20.7696329359554
chr1:1660275-1660375_-	-0.0168854332334211	2.60898183534386	0.926001783062143	1	6.10072979959365
chr1:1663475-1664175_-	0.664535283489404	6.84320314475762	0.059244663633815	0.550709223466267	114.817850710071
chr1:1666875-1668175_-	0.787058513995879	4.1999750743208	0.113408109137607	0.685391997408749	18.378856142693
chr1:1670475-1670575_-	-1.91543087746523	2.5656042254163	0.101334566305613	0.661375935623285	5.92002892746442
chr1:1680825-1681975_-	-0.4568594827346	3.2765354996896	0.522078145494535	1	9.69026083613735
chr1:1685925-1686275_-	1.00453979196237	2.55844978823966	0.241202107241362	0.863707362889367	5.89074371634129
chr1:1706375-1706525_-	-0.327583758463529	3.55080106831475	0.453162257376495	0.986709861181517	11.7191909386968
chr1:1716975-1717075_-	-0.43046164701439	3.48934689332992	0.665967462559325	1	11.2304738301638
chr1:1719825-1719925_-	-0.74922293234857	2.64514710639329	0.562599779533031	1	6.25559497289479
chr1:1729375-1730075_-	0.573712164180023	5.9905565149521	0.132119170204691	0.725641794024066	63.5824416995403
chr1:1730975-1731675_-	-0.0736548948074816	3.9403509303207	1	1	15.3519597634303
chr1:1732875-1734575_-	0.167712305080014	5.03339983099862	0.880429523681304	1	32.7494740197815
chr1:1736075-1736625_-	0.475987833915782	4.01255181675609	0.264068223542296	0.864457882962698	16.1398114180066
chr1:1765625-1768475_-	0.450692859028527	8.59562668151007	0.175733036044896	0.781442933945097	386.848985850487
chr1:1771975-1773225_-	0.207376863042189	7.11587893306679	0.530341016864183	1	138.705283508239
chr1:1773475-1774925_-	0.321016374685776	7.19745993710673	0.339720178633124	0.917957873855613	146.774744706897
chr1:1784325-1784725_-	0.596407122274654	2.72773279809238	0.403282074365772	0.961826029100588	6.62413831874916
chr1:1791175-1791425_-	0.257574549557209	3.63382645992537	0.466098820272302	0.986709861181517	12.4134003853837
chr1:1792425-1792725_-	0.379909999075354	4.02560661151325	0.410060310718138	0.964669138252445	16.2865216451711
chr1:1794225-1795775_-	0.178358465528184	6.81829447026969	0.584838844419627	1	112.85249232331
chr1:1797425-1799175_-	-0.0070140424571014	6.8410372466349	0.994137082244752	1	114.645605584875
chr1:1801025-1801375_-	-0.165231005482663	3.89509946117496	0.889879827993204	1	14.8779047475526
chr1:1802625-1804125_-	0.37069708961163	6.42141558870069	0.261050018788291	0.864457882962698	85.7114232778593
chr1:1805175-1805475_-	0.183607950889999	3.57137571369365	0.826134362027311	1	11.8875187679464
chr1:1806925-1806975_-	0.556071201291592	3.00690310869121	0.348874394019303	0.924901459503613	8.0383706887884
chr1:1807175-1808875_-	-0.323336044178171	5.504232936685	0.408337163388649	0.963572944889471	45.3878088388394
chr1:1809375-1809475_-	0.175431463145097	3.56558932688532	0.822907109132538	1	11.8399355847657
chr1:1810025-1812125_-	-0.151690788359852	5.09091477571013	0.668956058272854	1	34.0814491564863
chr1:1813175-1813375_-	-0.744683906571358	3.66255529633785	0.29353412063284	0.896417691107961	12.6630699231644
chr1:1819275-1820225_-	0.371824418362005	5.08762681290918	0.349769273157896	0.925783081688956	34.0038645403734
chr1:1821825-1823225_-	-0.032439426266989	5.84524983433918	1	1	57.4904267329223
chr1:1829775-1832075_-	-0.673680588010845	5.79797307998163	0.119551379615868	0.696928404615849	55.6370136752807
chr1:1835925-1839125_-	0.430023899151241	6.5568914242261	0.194109391284999	0.799312638231162	94.1501458231021
chr1:1839725-1841475_-	-0.496291912741404	5.85027709412473	0.252350575727307	0.864457882962698	57.6911091019605
chr1:1843225-1843325_-	-1.73235498787104	3.14672463369032	0.0351614318268113	0.457278050864544	8.85642609397127
chr1:1845425-1846875_-	-0.0754962874057898	6.25122699285337	0.973072951459331	1	76.1740127985654
chr1:1849575-1852725_-	-0.161786972228701	6.88839590634808	0.706380024362779	1	118.471473432302
chr1:1854625-1856775_-	-0.174765156692337	6.74370128551529	0.659275669100817	1	107.165839084263
chr1:1859075-1859925_-	-0.0843375694112609	4.88890415736488	0.966647455573702	1	29.6283043567997
chr1:1860875-1862775_-	-0.185132412074851	6.9065717658849	0.614670115155841	1	119.973483419256
chr1:1864975-1867225_-	-0.0342854318477858	7.07317816181294	0.96624798311143	1	134.660056199242
chr1:1868225-1868675_-	0.0100753452232767	3.54186448882509	0.952676666297499	1	11.6468223640359
chr1:1869875-1872275_-	-0.138160419451449	8.03692712035367	0.71326152137225	1	262.637137409152
chr1:1875175-1875575_-	-0.343690630218815	4.96706424987871	0.487709838482967	0.986709861181517	31.2777374363517
chr1:1879525-1880425_-	-0.568394099336707	6.24675124934738	0.126772173333472	0.713274042335273	75.9380606189849
chr1:1884425-1884525_-	-0.641742638914871	3.65058955531972	0.425128263243798	0.975364601591649	12.5584765218425
chr1:1885725-1886375_-	0.344015435820916	5.74418813233699	0.405839580172301	0.962661741266095	53.6010044979892
chr1:2162125-2162325_+	0.708366987834888	3.26947705145172	0.319810918457081	0.906580697235986	9.6429666024044
chr1:2243975-2244575_+	-1.13174434253729	3.86406200641985	0.14057853783961	0.744445407301321	14.5612470080548
chr1:2262925-2265925_+	-0.890804045794088	6.90868949797083	0.0238162075439421	0.390552571803147	120.14972181704
chr1:2285325-2286425_+	-1.3532033105361	3.95274832640695	0.0259876656831336	0.404556594178391	15.4844509811119
chr1:2370675-2371925_-	0.717491530778789	3.50170861954984	0.211107170591301	0.829184352238615	11.3271155423874
chr1:3513825-3514025_-	-0.67200143441381	2.74404359355803	0.607468729087122	1	6.69945433275798
chr1:3627075-3627275_+	-0.52820523139966	3.11917804570561	0.824992881763648	1	8.68892710123158
chr1:3785875-3786525_-	0.548247431368397	3.10605080135787	0.477206350848123	0.986709861181517	8.61022418318926
chr1:3812675-3813875_-	1.09474090754805	4.10904207348601	0.0344842265374315	0.455396742041961	17.2561901440861
chr1:3826975-3827525_-	0.369712144684849	2.96051754352892	0.494219826644419	0.986709861181517	7.78403147397968
chr1:3835425-3836275_-	0.0751347075301778	2.71666465503089	1	1	6.57351335083806
chr1:3860325-3861775_+	2.23265491905583	3.64206709857257	0.000989055446877493	0.0799728184752697	12.484508313601
chr1:3864575-3864825_+	1.45409568972814	2.80656052374451	0.162649811949064	0.766188126266099	6.99614661634449
chr1:3897625-3898475_-	1.12874846010154	2.82003292352184	0.123312623684918	0.706243205532677	7.06178512439961
chr1:6008375-6008675_+	-0.792057166372075	3.0870211225762	0.386590359434645	0.961173075516011	8.49739790191498
chr1:6051775-6052425_+	-0.562092167122906	4.29559473005334	0.225029407655511	0.843788595428311	19.6382535521268
chr1:6053775-6056275_+	0.651799205991505	6.2097813834591	0.065865621933332	0.572540491248394	74.0168268957746
chr1:6057825-6058175_+	0.21940527350442	3.62853244146518	0.715749694329355	1	12.3679324650521
chr1:6059175-6059525_+	-0.0756575802753941	3.17434102322076	1	1	9.02759078290817
chr1:6123475-6123625_-	-1.23156752740967	2.9255339163644	0.330065971030229	0.913002976668194	7.59754816793551
chr1:6188175-6189075_-	3.11062662773059	2.9434448190707	0.000865804802663763	0.074452877871991	7.69245883953168
chr1:6190375-6193775_-	0.828931352516416	6.60333662339074	0.0963833853195106	0.649282682794632	97.2304722443355
chr1:6222125-6223425_-	1.87839994421845	3.97419123951267	0.00404366112727955	0.172599709884377	15.7163166959616
chr1:6522025-6523525_-	2.17059176808735	4.25878527621424	0.00116170061429587	0.0862275338067988	19.1435339681958
chr1:6524725-6525325_-	1.6320584818234	3.03743022903348	0.0775186499161706	0.611289429678915	8.21027319999456
chr1:6540025-6541325_-	-0.176815431997837	2.69650254772438	0.771972147464064	1	6.4822854321346
chr1:6542325-6543975_-	1.36371367009664	3.41106668009568	0.119258973497834	0.69674194738399	10.6373485029824
chr1:6547625-6549325_-	1.89395803965066	3.5710696221627	0.0576056910137524	0.545398043303596	11.8849969024507
chr1:6577275-6577425_+	1.14304474702168	2.76503283084743	0.115062963431883	0.687472445639364	6.79763468246592
chr1:6581525-6581625_+	0.405563638684406	3.09391699547515	0.900220076316	1	8.53811145547488
chr1:6627425-6627575_+	1.59539725662872	2.48374985374672	0.359692222910521	0.93412409422188	5.59349440110994
chr1:6630575-6632225_+	-0.123606018102065	2.85538126243889	0.85292741833652	1	7.23694728298359
chr1:6646925-6647825_-	0.845940890456766	2.7425292880509	0.438171801625122	0.98635567922995	6.6924260295661
chr1:6648975-6649875_-	1.12620473412749	2.97874607872626	0.331204832367185	0.913422270067514	7.88300712619838
chr1:6659575-6660475_-	0.0954281626671142	2.52688772956592	1	1	5.76327048056694
chr1:6800125-6800375_+	-2.12194213802724	2.71069458408615	0.146177431034953	0.74791347302606	6.54636745195224
chr1:6803775-6803975_+	0.340347720984982	2.55186889294332	0.933084710833904	1	5.86393411081216
chr1:6838725-6840175_+	0.915348770126816	3.7330282630097	0.139621101792003	0.742476800283658	13.2969942767224
chr1:6844325-6844725_+	0.674047020864185	3.15594527144668	0.603018868882925	1	8.91321107799213
chr1:6846975-6848475_+	0.851939295672897	3.50858518494709	0.205460731435669	0.820562869078771	11.3812347970125
chr1:6851575-6852025_+	-0.230069763310433	2.69470011005824	0.915133407909753	1	6.47419181605044
chr1:6882925-6883225_+	0.641648909375865	2.53110724205538	0.340325250387983	0.91860720815565	5.78015124054115
chr1:7849375-7849525_-	-3.04122545669395	2.52628061370968	0.0296151077247373	0.429487242609619	5.76084568760885
chr1:7867075-7867175_-	0.143554867097262	2.37502596296147	0.953845376758096	1	5.187451571939
chr1:7883875-7884075_-	1.08425873951972	2.60003654998976	0.129825645456147	0.719695405950842	6.06301986780822
chr1:7886775-7887025_-	0.732412696539299	2.81248870916431	0.421928401891581	0.973642191627215	7.02495366250897
chr1:7908825-7910825_-	-0.161430400534535	5.1385143063873	0.721311831292348	1	35.2246705052903
chr1:7967775-7968775_+	0.481716832020878	2.85135838978792	0.690797766908939	1	7.21679557817525
chr1:7969875-7970225_+	0.907242101024644	2.4459092007605	0.939221864574534	1	5.44868920232746
chr1:7974375-7975025_+	-1.05056274738703	3.03361154642104	0.183399132779074	0.787865716297904	8.18857008901281
chr1:7998875-7999125_+	-1.64846659834727	2.31767513743966	0.560216103758704	1	4.98528207700897
chr1:8399875-8402175_-	0.446600144447858	8.3533948062743	0.187000685274668	0.788740658060651	327.056211937427
chr1:8403825-8404575_-	0.711328238896332	6.47625031963982	0.047780596077749	0.519617666845526	89.0318926263742
chr1:8405675-8406375_-	0.464465165613974	7.19038135952086	0.163855111761662	0.767542743203222	146.056358814969
chr1:8412375-8414575_-	0.56578499728404	8.513919294188	0.0895600978032909	0.636769555833802	365.548569072682
chr1:8436175-8436325_-	-0.966098442915931	2.41284991236018	0.472249516866788	0.986709861181517	5.32525242307725
chr1:8438025-8438325_-	0.676973703419874	3.58447552616952	0.169745449241464	0.773089664717628	11.9959501430933
chr1:8470325-8471025_-	-1.40720583240036	2.69481575908353	0.224855712576496	0.843788595428311	6.47471081969471
chr1:8531225-8531425_-	0.219663577664719	2.38208495507631	0.615650570470691	1	5.21289555692019
chr1:8542525-8542825_-	-0.61480911541806	2.36783977319427	1	1	5.16167667024576
chr1:8545725-8546875_-	-0.415678439262161	2.51579855708921	0.83418644239185	1	5.71914132835879
chr1:8592325-8592725_-	-0.302066528449625	2.79539349145682	0.533308592363076	1	6.942202707411
chr1:8605125-8606125_-	0.257109727224711	2.70360954635759	1	1	6.5142972245677
chr1:8607075-8608475_-	0.290572426513556	2.88811816983559	0.801128500618345	1	7.40304177587264
chr1:8634775-8635025_-	-0.00705272365349396	2.45244893995853	1	1	5.47344418501823
chr1:8636025-8636525_-	-1.60700368055814	2.42444859037455	0.10746028276183	0.677163036520796	5.36823783537432
chr1:8651575-8652025_-	1.96141525514973	2.45767872707351	0.0520199708521934	0.531730967074373	5.49332149290523
chr1:8710525-8711225_-	-1.1104756000697	2.27887033728939	1	1	4.85297805832994
chr1:8720075-8720275_-	-1.81665447112721	2.36730056607436	0.112315302347761	0.683873952716043	5.15974785460248
chr1:8721325-8721625_-	0.635607552781084	2.35278041213641	0.616951974011342	1	5.10807749394718
chr1:8728875-8729425_-	0.804318626815736	2.29711710535612	0.96774193548387	1	4.91474684172388
chr1:8736275-8736475_-	0.713686293823456	2.2908713370172	0.96774193548387	1	4.8935157296688
chr1:8743425-8743575_-	0.13890695153469	2.26986562630189	0.96774193548387	1	4.82278209230201
chr1:8745775-8746125_-	-1.46301240991665	2.30565228021126	0.558346074025778	1	4.9439093141504
chr1:8769525-8770125_-	-0.112703990275284	2.62939316035088	0.901106987320181	1	6.18765671766058
chr1:8776325-8777025_-	0.42486469056943	2.85149430458611	1	1	7.21747549700187
chr1:8777675-8779675_-	2.71283134045167	2.80157876115631	0.00409350242716597	0.17367583041467	6.97202992217554
chr1:8785625-8785925_-	-0.641025206506271	2.30853826773585	1	1	4.95380907864271
chr1:8787525-8788675_-	-1.03260633243761	2.79945673479958	0.374927403390339	0.950829925306245	6.96178246482445
chr1:8790625-8790875_-	1.27716025984143	2.52859837953715	0.2386297678471	0.860247584432159	5.77010822904703
chr1:8793825-8795475_-	2.70298944980934	3.07198843985849	0.00256544617233918	0.135404095356531	8.40931588959682
chr1:8797975-8798075_-	0	2.23262371101349	1	1	4.69987931412357
chr1:8799525-8801525_-	1.25669963733668	2.78499012695417	0.405679892513176	0.962585367140256	6.89232211010842
chr1:8803175-8803825_-	-0.0537786284255523	2.41323078012587	1	1	5.32665846155398
chr1:8805075-8807325_-	1.33058739945799	3.51466493705064	0.244425462924697	0.864457882962698	11.4292983786731
chr1:8813675-8813925_-	0.566742819877947	2.29085889512722	0.96774193548387	1	4.89347352787283
chr1:8857575-8857975_-	0.394885906415677	2.4845637717055	0.675316931313376	1	5.59665094485573
chr1:8876625-8877725_-	-0.193499632338838	3.99081447062015	0.778185297817475	1	15.898452833909
chr1:8910075-8910225_-	1.08210256889991	2.27559826955862	0.96774193548387	1	4.84198385735951
chr1:8914875-8915125_-	0.542160813031704	2.4674384525698	0.938917202830397	1	5.53060939018956
chr1:8920775-8920925_-	1.92186412231164	2.35525836857122	0.265520240092272	0.864457882962698	5.11685860820308
chr1:8959425-8959775_-	-0.817086178164299	2.26074191078866	1	1	4.79237868179046
chr1:8963575-8965875_-	3.03495258263973	4.11358113214091	0.000764871247557307	0.0704100928854516	17.310567683141
chr1:8968075-8968225_-	-0.12117039055406	2.47254547614171	0.839304660261379	1	5.55022199242678
chr1:9043875-9044025_-	-0.954746736494215	2.73328926811102	0.68746460114883	1	6.6497000596991
chr1:9235675-9236725_+	-0.187837857493413	4.64865648771685	0.795804974836561	1	25.083321365871
chr1:9254025-9254375_+	-0.0632516056389391	2.98847951777711	1	1	7.93637127004728
chr1:9265675-9265775_+	0.728823256407948	3.42263932401114	0.251714854718452	0.864457882962698	10.7230196260451
chr1:9266775-9268325_+	0.667100915423801	7.23172008539441	0.0599997466635336	0.552470897914913	150.301967594829
chr1:9270925-9271275_+	0.294421230871733	5.06061095541601	0.537274845080368	1	33.3730342349146
chr1:9299325-9299625_+	1.79598519753659	2.6486046296687	0.179254987937631	0.783541182674119	6.27060493889269
chr1:9547325-9548475_+	-1.21137503622987	2.80443131672821	0.226819656713615	0.846996875292915	6.9858289420567
chr1:9550675-9551375_+	-0.842689384175441	2.91998338586431	0.580781673233665	1	7.5683740155951
chr1:9556925-9557925_+	-1.26564181053681	3.21604213734273	0.168116549698816	0.772083521262361	9.29234125638736
chr1:9559975-9561075_+	-1.016548351767	2.81278008331856	0.54371980125809	1	7.02637260177763
chr1:9562525-9563975_+	0.402288491042535	3.28965877396299	0.500434976371958	0.989608480311018	9.77880906538888
chr1:9568575-9568725_+	1.29762070517598	2.33484168628804	0.264441030324118	0.864457882962698	5.04495599820039
chr1:9615925-9616375_+	0.611257565058876	2.33210768040661	0.954044285736211	1	5.03540451438041
chr1:9631325-9631725_+	0.797126232880365	3.29411829671597	0.238170688729443	0.859798279423884	9.80908316318729
chr1:9634975-9635275_+	1.1343830609389	2.94415307035029	0.295531368712076	0.897582037017812	7.69623616682602
chr1:9636175-9636325_+	-0.621418349175782	2.83479898455884	0.593180564197595	1	7.13443402196631
chr1:9636925-9637525_+	-0.325883194289924	3.22612296190344	0.690338962928256	1	9.35749882457286
chr1:9638575-9638725_+	1.14820992592535	2.36535919188749	0.617034496512623	1	5.15280926792625
chr1:9638825-9640575_+	0.5391886730252	4.34428528097025	0.29867685456457	0.900423245949811	20.3123503779172
chr1:9642125-9645325_+	0.334453204721263	5.04065749498811	0.526308437037354	1	32.9146395794163
chr1:9646675-9647775_+	0.286234295460916	3.82564000941874	0.782977591131072	1	14.1785688176436
chr1:9654775-9656875_+	0.0146204007620739	8.33041892518032	0.961194373406054	1	321.888879373472
chr1:9658075-9658675_+	-0.0715638065886	6.30001817889736	0.858807483542022	1	78.7942353065148
chr1:9659725-9662325_+	0.230474440860302	8.03320804597305	0.484575329123479	0.986709861181517	261.960965997051
chr1:9664875-9667625_+	-0.0346006771378557	8.20416935426735	0.939813499700235	1	294.917854059372
chr1:9669175-9671475_+	0.270080368218977	8.6231522055364	0.39396256114585	0.961173075516011	394.300630061639
chr1:9673275-9675175_+	-0.178288958325816	8.02678513157408	0.616450653439435	1	260.797301479475
chr1:9677325-9678475_+	-0.445210936879409	7.05752597956931	0.240159968739197	0.862306398428358	133.206990034655
chr1:9679925-9680475_+	0.142021748131314	5.85530165421356	0.661721834646242	1	57.8923836614404
chr1:9681475-9684675_+	-0.0503602559148369	8.47930958146534	0.911216956944344	1	356.883546929327
chr1:9686225-9686625_+	-0.0922612874518211	5.93326510414847	0.893184512705707	1	61.1069726579913
chr1:9692475-9694925_+	-0.363825419607296	8.20246890372267	0.278700130224941	0.876830070052198	294.570450220156
chr1:9695975-9696675_+	-0.320066909585232	5.87303174296275	0.474552841322075	0.986709861181517	58.6082454471392
chr1:9697475-9698275_+	-0.639663000838281	6.21271089155253	0.110039953031326	0.681514502834475	74.1672767030263
chr1:9701425-9702175_+	-0.454166215124808	5.98632481829626	0.323391198749236	0.908452484333979	63.3962156575769
chr1:9704475-9706425_+	-0.150285642495854	7.55961212497724	0.684261458889774	1	188.655732055928
chr1:9707975-9709725_+	-0.254063314386677	6.64516544286985	0.54798302457124	1	100.090791699886
chr1:9710775-9713775_+	0.0141466890638932	8.16897861986722	0.93394708875915	1	287.811139215877
chr1:9714875-9715125_+	-0.907386431147882	4.3789638613619	0.106981255935638	0.676678742449429	20.8065211474788
chr1:9739525-9740375_-	1.07341234698484	2.89169394160944	0.440301275369322	0.986709861181517	7.42141324010093
chr1:9745875-9746075_-	-0.768291630582872	2.42291978169284	0.330351085199224	0.913290065934999	5.36255218354135
chr1:9748925-9749225_-	1.49425810371088	2.89784478669021	0.077997637784047	0.613525098920117	7.4531215422426
chr1:9750425-9750725_-	2.57942729155856	2.44281807595109	0.05586314813905	0.538869224059778	5.43702731448327
chr1:9753525-9754875_-	1.22506123015741	3.30297953463323	0.147562354030605	0.74791347302606	9.86951735333326
chr1:9759275-9759625_-	-2.53104281739682	2.43651264604847	0.07088118859079	0.588615887063381	5.41331614571182
chr1:9766475-9766675_-	-0.173745059014331	2.37593214437361	1	1	5.19071092244928
chr1:9772325-9772475_-	-0.0825364836369141	2.56131027417763	0.87677543488685	1	5.90243510300623
chr1:9774475-9774575_-	0.319938356478971	2.4278793200297	0.944431850742807	1	5.38101869852911
chr1:9779325-9780175_-	1.00915157593013	2.48209432199734	0.160504637927277	0.763773686176349	5.58707939574108
chr1:9782875-9783075_-	-0.51449311669747	2.42223398524606	1	1	5.36000365791758
chr1:9785025-9785325_-	1.05729122887078	2.43920265006225	0.678955739475969	1	5.42341906141187
chr1:9791375-9792225_-	0.471404674131062	2.9712962425664	0.574737968902381	1	7.84240551460414
chr1:9794375-9794625_-	1.26952272645567	2.64883151852416	0.53850328604139	1	6.2715911779922
chr1:9798875-9799025_-	0	2.23262371101349	1	1	4.69987931412357
chr1:9816725-9816975_-	1.3820914049701	2.42461189458746	0.674919824186569	1	5.36884552130065
chr1:9887575-9888525_-	-0.61186046020158	2.84768710296671	0.428996450223137	0.977909242873054	7.19845404171233
chr1:9891675-9892525_-	-0.208826929625975	2.61803755627578	1	1	6.13914419628884
chr1:9894375-9896675_-	0.113118316545721	3.52028674470723	0.821165957461483	1	11.4739222716775
chr1:9927325-9929625_-	0.788670329758195	5.39518541739995	0.0601992428910761	0.553296326019466	42.0835766254268
chr1:9944125-9944275_+	-0.247556977803633	3.48144064483476	0.981054851300939	1	11.1690969886141
chr1:9959225-9959325_+	0.775511408173637	2.29381885362075	0.96774193548387	1	4.90352370971665
chr1:9982775-9984375_+	0.2410754518424	5.40725421617458	0.502155701461372	0.990184763222795	42.4371014795149
chr1:9987075-9987175_+	0.202660888923663	2.47153237141614	0.672314757528858	1	5.54632582440438
chr1:9987975-9989375_+	0.0394382900399204	4.52158808352113	0.944524932874821	1	22.9685532811475
chr1:9991925-9992025_-	0.437540847276016	2.40790005595851	0.945067413733028	1	5.30701290139646
chr1:10011775-10011975_+	1.20972620655343	2.50062010599256	0.0789679909658414	0.618018747498928	5.65928622791324
chr1:10037975-10039625_+	0.385678426742217	5.02001764425729	0.310166720370302	0.904964551174131	32.4471001810697
chr1:10040125-10040275_+	0.307042565650947	3.08806415321475	0.719777285065784	1	8.50354351880248
chr1:10041375-10042675_+	0.180006175554804	4.58091762030523	0.651507267772795	1	23.9328055015946
chr1:10044125-10044375_+	-1.02628959601706	3.30026316851573	0.178070722504264	0.78269073906195	9.85095209952025
chr1:10055275-10055875_+	-1.30092541612052	3.70354116429364	0.0577232781403301	0.545467128281724	13.0279769235741
chr1:10059075-10059225_+	-2.44656251248414	2.90848958136154	0.00475698883236421	0.184644480586489	7.508317101704
chr1:10060775-10063725_+	-0.096287786481895	5.72586057673745	0.875438540184053	1	52.9243806765425
chr1:10073425-10073725_+	-0.358753831997618	4.0924342193531	0.579634281773569	1	17.05868129093
chr1:10075725-10077025_+	-0.423301392273248	5.18761989828929	0.42121151141471	0.97323902339265	36.4442649657635
chr1:10091475-10092825_+	-0.533408234183356	4.83846564883074	0.283729695225318	0.881983588834335	28.6103580753064
chr1:10095925-10098175_+	-0.691949406680571	5.71938993341396	0.113082842988325	0.684835524335117	52.6875406277024
chr1:10121075-10121725_+	0.0727699599288938	3.96131284106711	0.693711966946466	1	15.5766473369286
chr1:10123125-10124975_+	-0.294907264753837	5.73673134147004	0.506951002666262	0.99286587606957	53.3246742179021
chr1:10141175-10141575_+	-0.568184455998601	4.81445109427858	0.294150617484498	0.896746071824552	28.1380626349177
chr1:10144475-10144575_+	-0.796677851500104	2.89677888273121	0.484658022764347	0.986709861181517	7.44761699865228
chr1:10151975-10152075_+	-0.335084701567259	3.04026976245486	0.994228874569769	1	8.22644869265321
chr1:10155775-10157775_+	-0.18878964991876	5.50977451958497	0.720284963476023	1	45.5624846911154
chr1:10163075-10164325_+	-0.247428511056676	5.18856516100547	0.706959923190595	1	36.4681512980173
chr1:10166475-10167925_+	-0.335269168348246	4.82112988866898	0.607268028157217	1	28.2686266128342
chr1:10176825-10177825_+	-1.00388643349733	3.91650208533303	0.15265255972626	0.750912577523898	15.1002662800492
chr1:10212575-10212725_+	-0.343168262574723	3.68791201485859	0.833909548491435	1	12.887602661065
chr1:10213875-10214125_+	-0.550296963175302	4.48372583046627	0.340903479059265	0.919231062157337	22.3736050434699
chr1:10220125-10220825_+	-0.00374449378333776	4.46501637526675	0.921251783034608	1	22.0853283317797
