log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	-0.885547634738972	10.7843287059456	0.22664367052137	1	1763.62571924977
chr1:727175-727325_-	-0.246504550210427	8.46970887335584	0.824505933981826	1	354.516477457131
chr1:730825-730925_-	0.317247625118176	8.28337361557077	1	1	311.561598651415
chr1:737675-737775_-	-0.949332485543708	8.29752568073688	0.338097219614292	1	314.632890192643
chr1:740825-740925_-	-0.286190800536943	8.41124864756378	0.954148022889941	1	340.438088924564
chr1:779725-780725_+	0.779126393620303	8.41190107155956	0.548624692780924	1	340.592078646234
chr1:780675-780775_-	0	8.2728662427902	1	1	309.300690249668
chr1:1104025-1104325_-	0.0369245960971286	8.29862600834933	1	1	314.872948764828
chr1:1112775-1114275_-	-0.954378169898293	8.75164040463263	0.229574779975911	1	431.028783848746
chr1:1264525-1267225_-	0.15321302450205	8.79427669583872	0.949598829831796	1	443.957171318255
chr1:1280375-1280475_+	0.39714409731637	8.29077493403875	1	1	313.164079920877
chr1:1316125-1318625_-	1.61398987664185	8.79765177303845	0.114060250261847	1	444.996991749456
chr1:1395975-1397875_-	1.00237887101604	8.65593396853612	0.334220642821	1	403.362727515125
chr1:1402675-1405375_-	1.53663213038835	8.69973070089855	0.0924155403461667	1	415.795605655355
chr1:1407725-1409425_+	0.146224711924439	8.52992432061407	1	1	369.626484066098
chr1:1482975-1484575_+	0.389607334440629	8.57696480720853	0.89709302149522	1	381.877155290484
chr1:1555725-1558175_-	-0.251680729609055	8.82890703465309	0.817029649545234	1	454.742815505809
chr1:1559575-1561425_-	-0.70068813979334	9.12990836950792	0.33207763309809	1	560.24279098134
chr1:1563275-1563775_-	-0.482984524084911	8.53337218804141	0.619951735187721	1	370.510903261629
chr1:1569575-1569825_-	-2.19578060421036	8.39402311943434	0.0108206248938887	1	336.397487334211
chr1:1571325-1573675_-	-0.102325937443857	8.81781791973012	0.89041546619978	1	451.260884328557
chr1:1613375-1613525_-	0.582709308636286	8.29793438957634	0.787076811451027	1	314.722036863573
chr1:1653375-1654075_-	-1.11426769935632	8.37283978459265	0.282163606867982	1	331.494192285116
chr1:1660275-1660375_-	-0.136538169930256	8.31612651152182	1	1	318.715751568779
chr1:1663475-1664175_-	0.16839157230453	8.88198279209041	0.875697991526922	1	471.784036042296
chr1:1666875-1668175_-	-1.11363709140018	8.42842585872673	0.221697303897171	1	344.515685470071
chr1:1670475-1670575_-	0	8.2728662427902	1	1	309.300690249668
chr1:1680825-1681975_-	-0.6366416287816	8.39808801110642	0.435542027610441	1	337.346646730428
chr1:1685925-1686275_-	-0.535999524617069	8.2902936413419	0.775510204081633	1	313.059623717792
chr1:1706375-1706525_-	0	8.2728662427902	1	1	309.300690249668
chr1:1716975-1717075_-	-1.28254708873807	8.31587667695371	0.161620360898065	1	318.660563662976
chr1:1719825-1719925_-	0	8.2728662427902	1	1	309.300690249668
chr1:1729375-1730075_-	0.46033211031701	8.48573936244388	0.769341540442773	1	358.477649657473
