log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	0.940845130629239	9.76454501326936	0.198128101398702	1	869.803083650687
chr1:727175-727325_-	-0.545346082083642	8.94607604075066	0.466429831479363	1	493.21608520647
chr1:730825-730925_-	-0.431962087627294	8.90765260832784	0.807692307692307	1	480.253596711958
chr1:737675-737775_-	0	8.89580915877806	1	1	476.327211510279
chr1:740825-740925_-	0.484291431801057	8.91440947009785	1	1	482.508139735654
chr1:779725-780725_+	-0.22341646260605	8.97939108679007	0.920284235778263	1	504.738066720775
chr1:780675-780775_-	0	8.89580915877806	1	1	476.327211510279
chr1:1104025-1104325_-	0.186083126861112	8.9755067900804	1	1	503.380943116544
chr1:1112775-1114275_-	-0.265247189905429	9.46373942703784	0.727188975750836	1	706.105246965958
chr1:1264525-1267225_-	0.14131932699482	9.33855642124308	0.963672049866617	1	647.41923608866
chr1:1280375-1280475_+	-0.221450793091923	8.94611857583929	1	1	493.230626948536
chr1:1316125-1318625_-	0.524019304878284	9.42321060247896	0.57631463612458	1	686.545060402507
chr1:1395975-1397875_-	1.50840325712757	9.11793750750466	0.154943575452777	1	555.613370657348
chr1:1402675-1405375_-	0.131819002035362	9.19707323043016	0.994226074587112	1	586.941631180696
chr1:1407725-1409425_+	0.338694321919504	9.14664485724814	0.771709515195956	1	566.779928022235
chr1:1482975-1484575_+	-0.564194293161566	9.06655753854321	0.630953416025265	1	536.174032153911
chr1:1555725-1558175_-	-0.395835946886246	9.17607500389633	0.659032790999341	1	578.46064651791
chr1:1559575-1561425_-	0.428847946228825	9.33714320271773	0.68003579746022	1	646.785355155458
chr1:1563275-1563775_-	-0.558430889530684	9.18805793314712	0.567996845309235	1	583.285311187656
chr1:1569575-1569825_-	-0.0901821430627416	8.9496429463278	1	1	494.437016679522
chr1:1571325-1573675_-	-0.137830848859282	9.19208859148573	0.927827895623401	1	584.917195257939
chr1:1613375-1613525_-	0	8.89580915877806	1	1	476.327211510279
chr1:1653375-1654075_-	0.90442059568049	8.94372675804163	0.52880619504665	1	492.413586352725
chr1:1660275-1660375_-	-0.391499632265686	8.90581025871254	0.807692307692307	1	479.640694959149
chr1:1663475-1664175_-	2.05233690747626	9.46339273774978	0.0129608388343744	1	705.935585528615
