log2FoldChange	logCPM	pvalue	padj	baseMean
chr1:136025-136925_-	2.13431444124988	9.94899450218054	0.00383781647045442	1	988.429666755646
chr1:727175-727325_-	0.234449324919786	9.0822687523683	1	1	542.04497559081
chr1:730825-730925_-	-1.01794268712963	9.1101842195035	0.227749936045469	1	552.635419281212
chr1:737675-737775_-	0	9.0745128112053	1	1	539.138755989788
chr1:740825-740925_-	0	9.0745128112053	1	1	539.138755989788
chr1:779725-780725_+	0.546471212742497	9.17617547515334	0.74120777638626	1	578.500932711747
chr1:780675-780775_-	0	9.0745128112053	1	1	539.138755989788
chr1:1104025-1104325_-	1.08011966232133	9.13313382710292	0.381072415878857	1	561.496736433667
chr1:1112775-1114275_-	-0.336082612467054	9.62830156533596	0.667552423577649	1	791.421015622872
chr1:1264525-1267225_-	0.588039711146124	9.39656773781398	0.522968919019736	1	673.98269425713
chr1:1280375-1280475_+	0.276209528363922	9.08445771473313	1	1	542.868030087998
chr1:1316125-1318625_-	0.575487665086263	9.31127529421184	0.600705443320942	1	635.291670844631
chr1:1395975-1397875_-	-0.173535709641031	9.28439978602239	0.989790149850896	1	623.566574494808
chr1:1402675-1405375_-	-0.080510486394672	9.53758758222944	0.937389728016536	1	743.190155984514
chr1:1407725-1409425_+	-0.48151575309759	9.24569217076166	0.661603026119271	1	607.058681179759
chr1:1482975-1484575_+	-0.778615831324582	9.44482937084194	0.321867551853784	1	696.910398400088
chr1:1555725-1558175_-	0.808086509680678	9.4804303853953	0.425531525285091	1	714.321822177377
chr1:1559575-1561425_-	0.631106049605097	9.40315157688336	0.633655508233046	1	677.065490042375
chr1:1563275-1563775_-	1.13563592239521	9.13311307203108	0.378193245932209	1	561.488658620309
chr1:1569575-1569825_-	0.187265569434775	9.17134359394744	0.883057253287564	1	576.566655544361
chr1:1571325-1573675_-	-0.761430654377188	9.28218843970184	0.437494243996799	1	622.611510982968
chr1:1613375-1613525_-	0	9.0745128112053	1	1	539.138755989788
chr1:1653375-1654075_-	1.03239613768375	9.12618700554862	0.378959421635206	1	558.799533277038
chr1:1660275-1660375_-	0	9.0745128112053	1	1	539.138755989788
chr1:1663475-1664175_-	-1.65062248997406	9.57097347335052	0.0241485571623192	1	760.589110394932
chr1:1666875-1668175_-	-0.00078286055107426	9.24957406730599	1	1	608.694309067309
chr1:1670475-1670575_-	0	9.0745128112053	1	1	539.138755989788
chr1:1680825-1681975_-	0.436717706010383	9.20708419275556	0.832954352017677	1	591.028623993602
chr1:1685925-1686275_-	0.230615966216038	9.08208370046993	1	1	541.975452915464
chr1:1706375-1706525_-	-0.732413228776547	9.09708352261361	0.407985628983722	1	547.63981284538
chr1:1716975-1717075_-	-1.10410218470076	9.1157987771175	0.227749936045469	1	554.790309099059
chr1:1719825-1719925_-	0	9.0745128112053	1	1	539.138755989788
chr1:1729375-1730075_-	-0.881461853580444	9.40403316734847	0.269124869074379	1	677.479352205371
chr1:1730975-1731675_-	1.31042736156412	9.14629373358071	0.280130639404377	1	566.642001692878
chr1:1732875-1734575_-	-0.488823565387451	9.35020443041834	0.609175915690202	1	652.667517862842
chr1:1736075-1736625_-	0.279370328437921	9.1782534764534	0.881170948860167	1	579.334783123166
chr1:1765625-1768475_-	0.673617738957024	9.32665734589911	0.530255469453003	1	642.10140527506
chr1:1771975-1773225_-	-0.176602181860188	9.13254384276767	1	1	561.267161546392
chr1:1773475-1774925_-	0.20011753503294	9.19965271714547	0.965465873294238	1	587.992000385799
chr1:1784325-1784725_-	-0.732413228776547	9.09708352261361	0.407985628983722	1	547.63981284538
